Relational Databases for Querying XML Documents: Limitations and Opportunities,Shanmugasundaram Jayavel; Tufte Kristin; He Gang; Zhang Chun; DeWitt David; Naughton Jeffrey,*,Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1999,1644
Set Valued Attributes,Karthikeyan Ramasamy; Prasad M Deshpande,Abstract About three decades ago; when Codd (1970) invented the relational databasemodel; it took the database world by storm. The enterprises that adapted it early won a largecompetitive edge. The past two decades have witnessed tremendous growth of relationaldatabase systems; and today the relational model is by far the dominant data model and isthe foundation for leading DBMS products; including IBM DB2; Informix; Oracle; Sybase; andMicrosoft SQL server. Relational databases have become a multibillion-dollar industry.,*,2005,2
NIAGARA Query Engine,J Naughton; D DeWitt,*,*,2003,2
The Niagara internet query system (overview paper),Jeffrey Naughton; David DeWitt; David Maier,*,*,2000,2
Performance issues of multi-dimensional data analysis,Yihong Zhao; Jeffrey Naughton,Abstract This thesis investigates performance issues that arise in multi-dimensional analysis.It tries to solve three closely related problems in multi-dimensional data analysis bydesigning high performance storage structures and algorithms. Recently; On-Line AnalyticalProcessing (OLAP) has become the most widely used and studied database technology inmulti-dimensional data analysis. The key requirement of OLAP systems is fast responsetime. This requirement is the driving force and the primary motivation of this thesis. The basicidea is to exploit the special features of multi-dimensional queries to design highperformance algorithms for query processing. The first part of the thesis studies issuesrelated to array-based storage and designs array-based consolidation algorithms for multi-dimensional data. The second part contains the design and implementation of array …,*,1998,2
D. Dewitt; JF Naughton; M. Asgarian; P. Brown; JE Gerke; DN Shah;“The bucky object-relational benchmark”,M Carey,*,Proc. of the ACM SIGMOD Conference on Management of Data,1997,2
Hash join processing on shared memory multiprocessors,Ambuj Shatdal; Jeffrey F Naughton,Abstract While most scalable database systems are designed for a shared nothingarchitecture; advances in hardware technology suggest that in the near future sharedmemory multiprocessors (SMPs) will be capable of handling all but the largest applications.This raises important questions about how scalable database systems should bearchitected; in particular; do SMPs require specially targeted algorithms; or will algorithmsdeveloped for shared nothing hardware suffice? As a first step towards answering thequestion; with an implementation on an SGI Challenge multiprocessor; we investigate theperformance of hash join algorithms on SMPs. We first show that the shared nothingapproach; if ported to an SMP by using a transparent message passing library; yields poorperformance. However; we show that by using an optimized message passing library and …,*,1996,2
Using the SHORE Object-Oriented Database/File System Paradigm for Information Retrieval,Bradley S Rubin; Jeffrey F Naughton,Abstract The SHORE (Scaleable Heterogeneous Object Rlilpository) persistent object storeunder development at the University of Wisconsin—Madison is a hybrid of OODBMS and filesystem technologies. A primary goal of the SHORE project is to provide a system thatfacilitates the construction of high functionality data servers for a wide variety of applications.In this paper; we evaluate the suitability of the SHORE system for supporting theimplementation of an information retrieval server. Our experience with our implementation ofa prototype multimedia information server; Chrysalis; demonstrates that overall the SHOREpersistent object store functionality is better suited to supporting the construction of aninformation retrieval server than the traditional alternatives of ﬁle systems; relationaldatabase systems; or even current OODBMS. Chrysalis is the ﬁrst major SHORE …,*,1995,2
Benchmark,M Carey; D Dewitt; J Naughton,"To Render These Rights Secure": James Madison's Understanding of the Relationship of theConstitution to the Bill of Rights … James Madison on Constitutional Interpretation.... B. Nelson Ong ........... 17 … James Madison on Federalism: The Search for Abiding Principles......................... George Carey .......... 27 … Standing in the Need of Prayer? The Supreme Courton James Madison and Religious Liberty .... Jonathan K. Van Patten .. 59 … Original Intent Jurisprudenceand Madison's Detached Memoranda ....................... Robert L. Cord ........... 79 … RepublicanVirtue and The Federalist: A Consideration of the Wills Thesis … James MacGregorBums and the Liberal Critique of Madisonian Democracy ..................... Hrach Gregorian ........ 97… The Constitutional Convention and the Study of the American Founding ........................ MortonFrisch ............ 101,Proceedings of ACM SIGMOD Conference in Management of Data; Washington; USA,1993,2
Nested Loops revisited,DJ DeWitt J Naughton; J Burger,*,Proceedings of the Parallel and Distributed Information Systems,1993,2
The OO7 Benchmark,MJ Carey DJ DeWitt; Jerey F Naughton,*,Computer Sciences Dept.; Univ. of Wisconsin-Madison,1993,2
A Uniﬁed Approach to Logic Program Evaluation,J Naughton; R Ramakrishnan,Abstract The Prolog evaluation algorithm has become the standard for logic programevaluation; and bottom—up methods have long been considered impractical because theycompute irrelevant facts. Recently; however; bottom-up evaluation algorithms that retain thefocusing property of top—down evaluation have been proposed; and in view of thesealgorithms the choice between top-down and bottom-up nmthods needs to be re-examined.In order to motivate a closer look at bottom-up methods; we identify certain classes of logicprograms for which bottom-yup evaluation provides polynomial time evaluation algo-rithmswhere Prolog takes exponential time. We also demonstrate that techniques such aspredicate factoring can provide a further O (n) improvement; when they are applicable. Weargue that no one evaluation method is uniformly preferable; and suggest that a choice of …,*,1989,2
Benchmarking multi-rule recursion evaluation strategies,Jeffrey F Naughton,*,*,1988,2
D.; and Naughton; J.(1999)‘Relational Databases for Querying XML Documents: Limitations and opportunities’,J Shanmugasundaram; H Gang; K Tufte; C DeWitt Zhang,*,proceedings of the 25th international conference on Very Large Data Bases; Edinburgh; Scotland,*,2
The Lowell Database Research Self-Assessment Meeting; Lowell Massachusetts; 2003,S Abiteboul; R Agrawal; P Bernstein; M Carey; S Ceri; B Croft; D DeWitt; M Franklin; H Molina; D Gawlick; J Gray; L Haas; A Halevy; J Hellerstein; Y Ioannidis; M Kersten; M Pazzani; M Lesk; D Maier; J Naughton; H Schek; T Sellis; A Silberschatz; M Stonebraker; R Snodgrass; J Ullman; G Weikum; J Widom; S Zdonik,*,*,*,2
Th6 007 Benchmark,MJ Carey; DJ DeWitt; JF Naught0n,*,Proc. InG CO 00 Afan (WerneM I) OM; ACM SIGMOD; Washington; 객체지향 데이타베이스에서의 비용기반 버퍼 교체 알고리즘 U,*,2
Parallelizing OODBMS traversals: A performance evaluation; May 1995,D DeWitt; J Naughton; J Shafer; S Venkataraman,*,Submitted for Publication,*,2
D.'I ‘. Schuh; MH Solomon; CK. Tan; O. Tsatalos; S. White; and MJ Zwilling. Shoring up persistent objects,MJ Carey; DJ DeWitt; MJ Franklin; NE Hall; M McAuliffe; JF Naughton,*,Proceedings of ACM SIGMOD,*,2
When Lempel-Ziv-Welch Meets Machine Learning: A Case Study of Accelerating Machine Learning using Coding,Fengan Li; Lingjiao Chen; Arun Kumar; Jeffrey F Naughton; Jignesh M Patel; Xi Wu,Abstract: In this paper we study the use of coding techniques to accelerate machine learning(ML). Coding techniques; such as prefix codes; have been extensively studied and used toaccelerate low-level data processing primitives such as scans in a relational databasesystem. However; there is little work on how to exploit them to accelerate ML algorithms. Infact; applying coding techniques for faster ML faces a unique challenge: one needs toconsider both how the codes fit into the optimization algorithm used to train a model; and theinterplay between the model sstructure and the coding scheme. Surprisingly andintriguingly; our study demonstrates that a slight variant of the classical Lempel-Ziv-Welch(LZW) coding scheme is a good fit for several popular ML algorithms; resulting in substantialruntime savings. Comprehensive experiments on several real-world datasets show that …,arXiv preprint arXiv:1702.06943,2017,1
m-tables: Representing missing data,Bruhathi Sundarmurthy; Paraschos Koutris; Willis Lang; Jeffrey Naughton; Val Tannen,Abstract Representation systems have been widely used to capture different forms ofincomplete data in various settings. However; existing representation systems are notexpressive enough to handle the more complex scenarios of missing data that can occur inpractice: these could vary from missing attribute values; missing a known number of tuples;or even missing an unknown number of tuples. In this work; we propose a newrepresentation system called m-tables; that can represent many different types of missingdata. We show that m-tables form a closed; complete and strong representation systemunder both set and bag semantics and are strictly more expressive than conditional tablesunder both the closed and open world assumptions. We further study the complexity ofcomputing certain and possible answers in m-tables. Finally; we discuss how to" interpret" …,LIPIcs-Leibniz International Proceedings in Informatics,2017,1
Towards Interactive Debugging of Rule-based Entity Matching.,Fatemah Panahi; Wentao Wu; AnHai Doan; Jeffrey F Naughton,ABSTRACT Entity Matching (EM) identifies pairs of records referring to the same real-worldentity. In practice; this is often accomplished by employing analysts to iteratively design andmaintain sets of matching rules. An important task for such analysts is a “debugging” cycle inwhich they make a modification to the matching rules; apply the modified rules to a labeledsubset of the data; inspect the result; and then perhaps make another change. Our goal is tomake this process interactive by minimizing the time required to apply the modified rules. Wefocus on a common setting in which the matching function is a set of rules where each rule isin conjunctive normal form (CNF). We propose the use of “early exit” and “dynamicmemoing” to avoid unnecessary and redundant computations. These techniques create anew optimization problem; and accordingly we develop a cost model and study the …,EDBT,2017,1
Technical perspective: natural language to SQL translation by iteratively exploring a middle ground,Jeffrey F Naughton,A fundamental question in data management is how relational database managementsystems (RDBMSs) should be queried. Ideally; the query interface should be powerfulenough to express arbitrary queries; yet simple enough to learn that users require virtuallyno training. Natural language is an obvious and appealing approach–presumably mostusers already know at least one natural language and use it to “query” other humansconstantly. Unfortunately; employing natural language to query RDBMSs is highly nontrivial;and for the most part; not used. However; with the growing power and ubiquity of NaturalLanguage Processing (NLP) systems; it makes sense to redouble efforts in applying NLP todatabase querying. At the most basic level; relational database systems are queried usingSQL.(For that matter; most “NoSQL” systems are also queried using SQL.) SQL is very …,ACM SIGMOD Record,2016,1
Partial result classification,*,A query can be executed over incomplete data and produce a partial result. Moreover; thepartial result or portion thereof can be classified in accordance with a partial resulttaxonomy. In accordance with one aspect; the taxonomy can be defined in terms of datacorrectness and cardinality properties. Further; partial result analysis can be performed atvarious degrees of granularity. Classified partial result can be presented on a display deviceto allow user to view and optionally interact with the partial result.,*,2015,1
A Survey of the Existing Landscape of ML Systems,Arun Kumar; Robert McCann; Jeffrey Naughton; Jignesh M Patel,1. INTRODUCTION We present a detailed survey of the existing land- scape of ML systems. Wecategorize the existing and proposed ML systems into six major categories: (1) Packages of MLImplementations; (2) Systems with a Linear Algebra-based Language; (3) Model ManagementSystems; (4) Systems for Feature En- gineering; (5) Systems for Algorithm Selection; and (6)Systems for Parameter Tuning. For each cate- gory (or sub-category; wherever applicable); wedis- cuss a few prominent examples from both research and practice. Note that it is possible fora sys- tem to belong to more than one category; since it could potentially have multiple simultaneousgoals. Our categorization is not intended to be exhaustive. Rather; we aim to give a high-levelpicture of the kinds of functionalities that have been considered; and underscore the gaps thatexist to motivate our vision [26]. Table 1 summarizes the categories.,UW-Madison CS Tech. Rep. TR1827,2015,1
On Differentially Private Inductive Logic Programming,Chen Zeng; Eric Lantz; Jeffrey F Naughton; David Page,Abstract We consider differentially private inductive logic programming. We begin byformulating the problem of guarantee differential privacy to inductive logic programming; andthen prove the theoretical difficulty of simultaneously providing good utility and good privacyin this task. While our analysis proves that in general this is very difficult; it leaves a glimmerof hope in that when the size of the training data is large or the search tree for hypotheses is“short” and “narrow;” we might be able to get meaningful results. To prove our intuition; weimplement a differentially private version of Aleph; and our experimental results show thatour algorithm is able to produce accurate results for those two cases.,International Conference on Inductive Logic Programming,2013,1
We are drowning in a sea of least publishable units (LPUs),David J DeWitt; Ihab F Ilyas; Jeffrey Naughton; Michael Stonebraker,Abstract Our field is drowning in a sea of conference submissions. We assert that the sheernumber of papers has begun to seriously hurt the quality of the work that the field is doingand that the field is going to implode unless we take action to remedy the situation. In orderto improve the quality of the papers being published we must reduce the number beingsubmitted. This will require a change in the culture of our field where" more" is beingequated to" better" by both hiring and promotion committees. In this panel we will exploresome ideas for correcting the situation.,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,1
On optimal differentially private mechanisms for count-range queries,Chen Zeng; Jin-Yi Cai; Pinyan Lu; Jeffrey F Naughton,Abstract While there is a large and growing body of literature on differentially privatemechanisms for answering various classes of queries; to the best of our knowledge" count-range" queries have not been studied. These are a natural class of queries that ask" is thenumber of rows in a relation satisfying a given predicate between two integers θ 1 and θ 2?"Such queries can be viewed as a simple form of SQL" having" queries. We begin bydeveloping a provably optimal differentially private mechansim for count-range queries for asingle consumer. For count queries (in contrast to countrange queries); Ghosh et al.[9] haveprovided a differentially private mechanism that simultaneously maximizes utility for multipleconsumers. This raises the question of whether such a mechanism exists for count-rangequeries. We prove that the answer is no---for count range queries; no such mechanism …,Proceedings of the 16th International Conference on Database Theory,2013,1
Instrumenting a logic programming language to gather provenance from an information extraction application,Christine F Reilly; Yueh-Hsuan Chiang; Jeffrey F Naughton,Abstract Information extraction (IE) programs for the web consume and produce a lot of data.In order to better understand the program output; the developer and user often desire toknow the details of how the output was created. Provenance can be used to learn about thecreation of the output. We collect fine-grained provenance by leveraging ongoing work in theIE community to write IE programs in a logic programming language. The logic programminglanguage exposes the semantics of the program; allowing us to gather fine-grainedprovenance during program execution. We discuss a case study using a web-basedcommunity information management system; then present results regarding the performanceof queries over the provenance data gathered by our logic program interpreter. Our findingsshow that it is possible to gather useful fine-grained provenance during the execution of a …,Proceedings of the 21st International Conference on World Wide Web,2012,1
Database and XML Technologies: First International XML Database Symposium; XSYM 2003; Berlin; Germany; September 8; 2003; Proceedings,Zohra Bellahsène,Modern database systems enhance the capabilities of traditional database systems by theirability to handle any kind of data; including text; image; audio; and video. Today; databasesystemsareparticularlyrelevanttoth…; astheycanprovideinputtocontent generators for Web pages; and can handle queries issuedover the Internet. The eXtensible Markup Language (XML) is used in applications runningthe gamut from content management through publishing to Web services and e-commerce. Itis used as the universal communication language for exchanging music and graphics aswell as purchase orders and technical documentation. As database systems increasinglytalk to each other over the Web; there is a fa-growingdesiretouseXMLasthestandardexch….Asaresult; manyrelational database systems can export data as XML documents and importdata from XML d-uments and provide query and update capabilities for XML data. In …,*,2003,1
Towards building XML statistics for the hidden web,Ashraf Aboulnaga; Jeffrey F Naughton,Abstract There is currently a lot of interest in developing Internet query processors that canpose elaborate queries on XML data on the Web. Such query processors can query datasources that have static XML files; but they should also be able to query “hidden Web” datasources that export an XML view of data stored in a database. To optimize queries thatinvolve these hidden Web data sources; we need to have XML statistics that can be used toestimate the selectivity of queries posed to these sources. Since we can only access thedata at a hidden Web data source by issuing queries; we need to develop on-line XMLstatistics that are built by observing queries to a hidden Web data source and their resultsizes. In this paper; we assume that queries to a hidden Web data source are XPathselections from a virtual XML document that represents all the data at this source. We …,*,2003,1
Dealing with (un) structuredness in XML Data and Queries Using Relational Databases,Rajasekar Krishnamurthy; Jeffrey F Naughton; Jayavel Shanmugasundaram; Eugene Shekita,Abstract An XML database can contain documents with varying degrees of schemainformation. The queries can also range from fully specified structured SQL like queries topartially specified regular path expression queries. Relational databases are widely used tostore and query XML data and various schemes have been proposed to this end. Theyeither use DTDs or assume schemaless data. We show how more advanced schemainformation (like XMLSchema); even if partially available; can be used effectively to answerqueries. We also show how the interaction between the amount of schema informationavailable and the query workload plays an important role in choosing a decompositionstrategy into relational tables; suited to that workload. We propose a simple cost metric forthis purpose. Our experiments indicate that this metric can provide a reasonable choice …,DB seminar at Wise university,2001,1
IDB: Toward the scalable integration of queryable internet data sources,Jaewoo Kang; Mong Li Lee; Jeffrey F Naughton,Abstract As the number of databases accessible on the Web grows; the ability to executequeries spanning multiple heterogeneous queryable sources is becoming increasinglyimportant. To date; research in this area has focused on providing semantic completeness;and has generated solutions that work well when querying over a relatively small number ofdatabases that have static and well-defined schemas. Unfortunately; these solutions do notextend to the scale of the present Internet; let alone the Internet of the future. In this paper;we present an approach that makes the opposite tradeoff: it provides a scalable; unified viewover large numbers of queryable information sources by sacrificing some expressive powerin the set of queries supported. We have developed a prototype system; IDB; whichimplements this approach. The IDB system provides scalability through three main …,Technical Report,2000,1
Materialized view selection for multidimensional datasets,Amit Shukla,Abstract This dissertation describes techniques for speeding up Online AnalyticalProcessing or OLAP queries. OLAP systems allow users to quickly obtain the answers tocomplex business queries. Quickly answering these queries which aggregate large amountsof data; calls for various specialized techniques. One technique used by OLAP systems tospeed up multidimensional data analysis is to precompute aggregates on some subsets ofdimensions and their corresponding hierarchies. We first address the problem of efficientlyestimating aggregate sizes. Precomputation of aggregate data improves query responsetime. However; the decision of what and how much to precompute is a difficult one. It isfurther complicated by the fact that precomputation in the presence of hierarchies can resultin an unintuitively large increase in the amount of storage required by the database …,*,1999,1
Computation of Multidimensional Aggregates,Raghu Ramakrishnan,Abstract At the heart of OLAP or multidimensional data analysis applications is the ability tosimultaneously aggre-gate across many sets of dimensions. Computing multidimensionalaggregates is a performance bottleneck for these applications. We explore various schemesfor implementing multidimensional aggregation; in particular; the CUBE operator [1]proposed by Gray et al. This operator computes aggregates over all subsets of di-mensionsspecified in the CUBE operation; and is equivalent to the union of a number of standardgroup-by operations. We show how the structure of CUBE computation can be viewed interms of a hierarchy of group-by operations; and present a class of sorting-based algorithmsthat overlap the computation of different group-by operations using the least possiblememory for each computation. Our algorithms seek to minimize the number of sorting …,*,1997,1
Problems of Teaching Urdu in France as a Mixed Language ‘,Alain Desoulieres,*,Annual of Urdu Studies,1995,1
The OO7 Object-Oriented Database Benchmark,MJ Carey; DJ DeWitt; JF Naughton,*,Proceedings of the 1993 ACM SIGMOD Conference on Management of Data; Washihgton; DC,1993,1
The oo7 Benchmark: Current Status & Future Directions,Michael J Carey; David J DeWitt; Jeffrey F Naughton,*,HPTS,1993,1
An Evaluation of Non-Equijoin Algorithms,David J DeWitt Jeffrey F Naughton; Donovan A Schneider,Abstract A non-equijoin of relations R and S is a band join if the join predicate requiresvalues in the join attribute of R to fall within a speciﬁed band about the values in the joinattribute of S. We propose a new algorithm; termed a partitioned band join; for evaluatingband joins. We present a comparison between the partitioned band join algorithm and theclassical sort~ merge join algorithm (optimized for band joins) using both an analyticalmodel and an implementation on top of the WiSS storage system. The results show that thepartitioned band join algorithm outperforms sort~ merge unless memory is scarce and theoperands of the join are of equal size. We also describe a parallel implementation of thepartitioned band join on the Gamma database machine; and present data from speedup andscaleup experiments demonstrating that the partitioned band join is efficiently …,International Conference on Very Large Data Bases: September 3-6; 1991; Barcelona (Catalonia; Spain),1991,1
Technical Perspective: Optimized Wandering for Online Aggregation,Jeffrey F Naughton,There is a rich history in the DBMS research literature involving sampling to estimate theresults of queries faster than they can be computed exactly. A particularly interestingexample of this is “Online Aggregation” proposed by Hellerstein et al. in 1997 [2]. There theidea is to combine sampling with a creative and intuitive user interface. Briefly; when a querystarts to run; Online Aggregation will quickly present an estimate of the result of the query(based on data sampled up to that point) and will also present a confidence interval aroundthe estimate. As query execution continues; the estimate is refined; and the confidenceinterval shrinks. Hidden in this attractive idea; however; are some difficult challenges. As anexample; for queries that involve joins; the sampling process is in general slow; especially ifmost of the tuples from one relation participating in the join “match” with only a few tuples …,ACM SIGMOD Record,2017,*
Resource bricolage and resource selection for parallel database systems,Jiexing Li; Jeffrey F Naughton; Rimma V Nehme,Abstract Running parallel database systems in an environment with heterogeneousresources has become increasingly common; due to cluster evolution and increasinginterest in moving applications into public clouds. Performance differences among machinesin the same cluster pose new challenges for parallel database systems. First; for databasesystems running in a heterogeneous cluster; the default uniform data partitioning strategymay overload some of the slow machines; while at the same time it may underutilize themore powerful machines. Since the processing time of a parallel query is determined by theslowest machine; such an allocation strategy may result in a significant query performancedegradation. Second; since machines might have varying resources or performance;different choices of machines may lead to different costs or performance for executing the …,The VLDB Journal,2017,*
ACM SIGMOD Record Volume 45 Issue 3,Yanlei Diao; Vanessa Braganholo; Marco Brambilla; Chee Yong Chan; Rada Chirkova; Zackary Ives; Anastasios Kementsietsidis; Jeffrey Naughton; Frank Neven; Olga Papaemmanoui; Aditya Parameswaran; Anish Das Sarma; Alkis Simitsis; Wang-Chiew Tan; Nesime Tatbul; Marianne Winslett; Jun Yang,Google; Inc. (search). SIGN IN SIGN UP. ACM SIGMOD Record. Volume 45 Issue 3; September2016 table of contents. Editors: Yanlei Diao; University of Massachusetts Amherst. VanessaBraganholo; Universidade Federal Fluminense. Marco Brambilla; Politecnico di Milano.,*,2016,*
System and methods for predicting query execution time for concurrent and dynamic database workloads,*,Systems and methods for predicting query execution time for concurrent and dynamicdatabase workloads include decomposing each query into a sequence of query pipelinesbased on the query plan from a query optimizer; and predicting an execution time of eachpipeline with a progress predictor for a progress chart of query pipelines.,*,2016,*
Technical Perspective: Broadening and Deepening Query Optimization Yet Still Making Progress,Jeffrey F Naughton,Query optimization is a fundamental problem in data management. Simply put; mostdatabase query languages are declarative rather than imperative—that is; they specifyproperties the answer should satisfy; rather than give an algorithm to compute the answer.The best known and most widely used database query language—SQL—is a primeexample of a language for which optimization is essential.By" essential;" I mean thatdatabase optimization is not a matter of shaving 10% or even a factor of 2x from a query'sexecution time. In database query evaluation; the difference between a good plan and a bador even average plan can be multiple orders of magnitude—so successful queryoptimization makes the difference between a plan that runs quickly and one that neverfinishes at all. Accordingly; since the seminal papers in the 1970s; query optimization has …,ACM SIGMOD Record,2016,*
Resource Bricolage for Parallel DBMSs on Heterogeneous Clusters,Jiexing Li; Jeffrey Naughton; Rimma V Nehme,Abstract Running parallel database systems in an environment with heterogeneousresources has become increasingly common; due to cluster evolution and increasinginterest in moving applications into public clouds or shared infrastructures. For databasesystems running in a heterogeneous cluster; the default uniform data partitioning strategymay overload some of the slow machines while at the same time it may underutilize themore powerful machines. Since the processing time of a parallel query is determined by theslowest machine; such an allocation strategy may result in a significant query performancedegradation. We take a first step to address this problem by introducing a technique we callresource bricolage that improves database performance in heterogeneous environments.Our approach quantifies the performance differences among machines with various …,ACM SIGMOD Record,2016,*
Skew-aware storage and query execution on distributed database systems,*,Distributing rows of data in a distributed table distributed across a plurality of nodes. Amethod includes identifying skewed rows of a first table to be distributed in a distributeddatabase system. The skewed rows include a common data value in a column such that theskewed rows are skewed; according to a predetermined skew factor; with respect to otherrows in the first table not having the common data value. Non-skewed rows of the first tablethat are not skewed according to the skew factor are identified. The skewed rows of the firsttable are distributed across nodes in a non-deterministic fashion. The non-skewed rows ofthe first table are distributed across nodes in a deterministic fashion. The rows of the firsttable distributed across the nodes; whether distributed in a deterministic fashion or non-deterministic fashion; are stored in a single table at each of the nodes.,*,2016,*
Formulating global statistics for distributed databases,*,The present invention extends to methods; systems; and computer program products forformulating global statistics for parallel databases. In general; embodiments of the inventionmerge (combine) information in multiple compute node level histograms to create a globalhistogram for a table that is distributed across a number of compute nodes. Merging caninclude aligning histogram step boundaries across the compute node histograms. Mergingcan include aggregating histogram step-level information; such as; for example; equalityrows and average range rows (or alternately equality rows; range rows; and distinct rangerows); across the compute node histograms into a single global step. Merging can accountfor distinct values that do not appear at one or more compute nodes as well as distinctvalues that are counted at multiple compute nodes. A resulting global histogram can be …,*,2015,*
9 Minimizing Expansions of,JEFFREY F NAUGHTON,In recent years there has been a growing acknowledgement among database researchersthat relational query languages are not sufficiently powerful. One proposed alternative torelational query languages is query languages built upon horn-clause logic. While suchlogic-based query languages are more expressive than relational languages; this extraexpressive power does not come for free; as logicbased languages are more difficult toimplement efficiently. Particularly problematic for efficient implementation are recursivedefini-tions.,Algebraic Techniques: Resolution of Equations in Algebraic Structures,2014,*
DBMS: Lessons from the first 50 years; speculations for the next 50,Jeffrey F Naughton,Some of the major themes in DBMS research appeared in the computer science literature asearly as 50 years ago. The community has had a very productive time over the past 50 yearsexploring these themes; in the process contributing to a major software industry and creatinga large and vibrant research community. I will give a subjective and probably highly biasedview of these themes and why they have been so persistent; and speculate on how theymight continue to persist in the future. While we will probably continue to be productive overthe next 50 years as well; there are reasons for concern going forward. I will close with somespeculation on what we might do to deal with this.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,*
Distributed data management,Jeffrey Naughton,*,International Conference on Management of Data: Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,*
RDBMS Index Support for Sparse Data Sets,Jennifer L Beckmann Eric Chu Jeffrey; F Naughton,Abstract Maintenance costs and storage overheads incurred by indexes often limit thenumber of indexes created per table in an RDBMS. For sparse data; where a table may havehundreds of attributes; indexing only a few attributes means that a vanishingly smallpercentage of attributes will have indexes; which unfortunately means that a table scan isthe only evaluation plan for almost all selection queries on that table. This paperdemonstrates that sparsity of the data actually enables index support for most; if not all;attributes in the data. Our approach leverages" sparse indexes;" which are partial indexesthat store only non-null values. Sparse indexes incur low maintenance costs and storageoverheads because most values in a sparse table are null. Properties of the data lead us totwo other contributions toward index support for sparse data: we show that sparse …,*,2006,*
Matchmaking in Database Systems,Ameet Kini; Srinath Shankar; D DeWitt; J Naughton,*,*,2005,*
The Management of ClassAds in RDBMS and XML Native Storage Systems,Youngsang Shin; Jeffrey F Naughton,ClassAd is a semi-structured data represented by ClassAd language [6] which has beendeveloped in the Condor project [9]. In Condor; most metadata and logs are denoted in thisform of data. Currently this data can be handled through the ClassAd library; which isdesigned for handling a main-memory resident data structure; and optimized for a relativelysmall amount of data and several functions. However; as metadata managed in Condor isgetting larger and more various complex querying functions are needed; the library shouldbe able to handle efficiently data in a disk; and be augmented with the hard coding forvarious additional querying functions. To effectively address these problems; RDBMS couldbe a serious alternative. Furthermore; since this language is semi-structured and easilytranslated into XML (eXtendible Markup Language)[10]; a XML native storage system …,*,2004,*
Cloning and characterization of neocarzinostatin gene cluster from Streptomyces carzinostaticus,Ju Yun Bae,*,*,2004,*
The Lowell Database Research Self Assessment,Stan Zdonik; Jennifer Widom; Gerhard Weikum; Jeff Ullman; Rick Snodgrass; Mike Stonebraker; Avi Silberschatz; Timos Sellis; Hans Schek; Jeff Naughton; David Maier; Serge Abiteboul; Rakesh Agrawal; Phil Bernstein; Mike Carey; Stefano Ceri; Bruce Croft; David DeWitt; Mike Franklin; Hector Garcia Molina; Dieter Gawlick; Jim Gray; Laura Haas; Alon Halevy; Joe Hellerstein; Yannis Ioannidis; Martin Kersten; Michael Pazzani; Mike Lesk,Abstract A group of senior database researchers gathers every few years to assess the stateof database research and to point out problem areas that deserve additional focus. Thisreport summarizes the discussion and conclusions of the sixth ad-hoc meeting held May 4-6;2003 in Lowell; Mass. It observes that information management continues to be a criticalcomponent of most complex software systems. It recommends that database researchersincrease focus on: integration of text; data; code; and streams; fusion of information fromheterogeneous data sources; reasoning about uncertain data; unsupervised data mining forinteresting correlations; information privacy; and self-adaptation and repair.,*,2003,*
Setting of Injection Molding Packing profile,Furong Gao; Xi Chen,Setting of Injection Molding Packing profile.,Advanced Molding and Mold Conference,2003,*
Close to Nature: Summer Camps in Early-twentieth-century America,Keith Mako Woodhouse,*,*,2003,*
Cloning and molecular characterizations of seven genes of fredericamycin biosynthetic cluster from streptomyces griseus,Bensheng Li,*,*,2003,*
Semistructured versus Structured Data-On the Difficulty of Finding Optimal Relational Decompositions for XML Workloads: A Complexity Theoretic Perspective,Rajasekar Krishnamurthy; Venkatesan T Chakaravarthy; Jeffrey F Naughton,*,Lecture Notes in Computer Science,2003,*
Paradise and Direct Broadcast Satellite: A Solution to Battlefield Data Dissemination for the 21st Century,David Dewitt; Jeffrey Naughton; San Dao,Abstract: This paper describes results from research under the Battlefield Aware DataDistribution (BADD) project. The goal of this research is to find new approaches to intelligentdata distribution from distributed servers to roaming clients whose needs evolve with time.The primary focus of this report is on the part of the problem associated with thedevelopment of satellite-based information dissemination network infrastructure and smartpush and filtering techniques. Research focused on possible ways to merge queries basedon more abstract ideas; such as through generalization in a concept hierarchy. A number ofissues in client cache management were also explored. Descriptors:* INFORMATIONTRANSFER;* SATELLITE COMMUNICATIONS;* CLIENT SERVER SYSTEMS;COMMUNICATIONS NETWORKS; SITUATIONAL AWARENESS. Subject Categories …,*,2001,*
Proceedings of the 2000 ACM SIGMOD-International Conference on Management of Data-May 16-18; 2000-Dallas; Texas-Foreword,M Dunham; J Naughton; WD Chen; N Koudas,*,*,2000,*
ACM SIGMOD Record Volume 29 Issue 2,Weidong Chen; Jeffrey Naughton; Philip A Bernstein,Google; Inc. (search). SIGN IN SIGN UP. ACM SIGMOD Record. Volume 29 Issue 2;June 2000 table of contents. Editors: Weidong Chen; Southern Methodist Univ.; Dallas;TX. Jeffrey Naughton; Univ. of Wisconsin-Madison; Madison.,*,2000,*
ISSAC 2000: 7-9 August 2000; University of St. Andrews; Scotland: Proceedings of the 2000 International Symposium on Symbolic and Algebraic Computation,Carlo Traverso; Weidong Chen; Jeffrey F Naughton; Philip A Bernstein,*,*,2000,*
