Nanotechnology platforms and physiological challenges for cancer therapeutics,Kelly Y Kim,*,Nanomedicine: Nanotechnology; Biology and Medicine,2007,272
Network Characteristics Of Spike-andwave Discharge In Patients With Juvenile Myoclonic Epilepsy,Ky Jung; Sm Kim; C Lee,Read 'NETWORK CHARACTERISTICS OF SPIKE-ANDWAVE DISCHARGE IN PATIENTSWITH JUVENILE MYOCLONIC EPILEPSY' on Ovid Insights.,Epilepsia,2013,*
Liver X receptor activation inhibits melanogenesis through the acceleration of ERK-mediated MiTF degradation,Kyung-Min Lim; Chang Seok Lee; Miyoung Park; Jiwon Han; Ji-hae Lee; Il-Hong Bae; Hyunjung Choi; Eui Dong Son; Young-Ho Park,Methods: Human CD10 cDNA was amplified and sub-cloned into a vector pCXN2. 1. A375melanoma cell line; which originally lacks CD10 expression at protein level; was transfectedwith CD10-pCXN2. 1. A375 cells transfected with empty vector served as control. By usingDNA microarrays; the three cell types: wild type-; CD10-and mock-A375 were profiled. Cellproliferation assay; mouse xenograft model; apoptosis assay against chemotherapeuticdrugs; scratch assay; and RT-PCR of array-targeted mRNA were performed using these celllines. Results: CD10-A375 showed significantly greater cell proliferation in vitro and tumorgrowth in vivo; CD10 augmented melanoma cell resistance to apoptosis mediated byetoposide; gemcitabine and doxorubicin. CD10 inhibitors; thiorphan and phosphoramidon;significantly blocked the tumor growth of CD10-A375 in mice. In scratch assay; however …,Journal of Dermatological Science,2013,*
Importance Of Symptomatic Assessment In COPD Patients With Mild To Moderate Airflow Limitation,J Kim; S Park; C Lee; Y Park; S Jang; C Kim; DG Kim; M Lee; IG Hyun; KS Jung; Y Hwang,RATIONALE patients. This new system included the symptomatic assessment and/or risk ofexacerbation in addition to spirometric classification. COPD assessment test (CAT) was theone of the symptomatic assessment tools that GOLD recommended. The aim of this studywas to explore the change of the impact of COPD after adopting the new GOLD assessmentsystem especially in patients with mild to moderate airflow limitation.,Am J Respir Crit Care Med,2013,*
Hospital Patients Based Incidence of Acute Aortic Dissection.,Chung Heon Lee; Lee Chan Jang,Abstract Purpose: Acute aortic dissection (AAD) is considered one of the most commonaortic catastrophes. However; there are a few epidemiological studies and true incidencewas unknown in the general population. With the advent of newer diagnostic techniques;AAD is more frequently detected in radiological studies. We determined the incidence ofAAD in a hospital patient group. Methods: A hospital patient group was defined as allpatients from the emergency room and outpatients' department (total number; 347;204)enrolled in Chungbuk National University Hospital between 2005 and 2010. Twenty-fiveAADs were detected by reviewing radiological reports (22;241 chest computed tomography[CT]; 39;235 abdominal CT). A traumatic aortic dissection and isolated abdominal aorticdissection was excluded. We calculated person-years in all hospital patients and the …,Korean Journal of Vascular & Endovascular Surgery,2012,*
305 A Validated Web-based Nomogram for Predicting Positive Surgical Margins in Breast-conserving Therapy,RG Pleijhuis; ABG Kwast; L Jansen; J de Vries; R Lanting; J Bart; T Wiggers; S Siesling; GM van Dam,*,European Journal of Cancer,2012,*
A message from the President,HF Ho,Just a bit of history. Our college was established in 1996; 15 years ago; and was thenincorporated into the family of Hong Kong Academy of Medicine one year later in 1997. Ourcollege is still the youngest amongst all other sister colleges within Hong Kong Academy ofMedicine.,*,2011,*
Detection of Influenza A (H1N1) Virus RNA in Swabbed Samples and Extracted RNA Samples,Chang Youl Lee; In-Bum Suh,PURPOSE: Detection of variant specific genes by reverse transcription polymerase chainreaction (RT-PCR) has become a routine diagnostic test for accurate subtyping of RNAviruses. The Influenza A (H1N1) virus RNA stability according to storage conditions andduration of swabbed samples and extracted RNA samples are important in research forother respiratory virus and bacterial infection. We have studied Influenza A (H1N1) virusRNA using RT-PCR for the stability in extracted RNA samples and swabbed samples.,Chest,2011,*
Clinical significance of tumor markers as prognostic factors in patients with metastatic gastric cancer receiving first-line chemotherapy.,J Jo; M Ryu; D Koo; B Ryoo; HJ Kim; J Lee; H Chang; TW Kim; KD Choi; GH Lee; H Jung; KC Kim; JH Yook; ST Oh; BS Kim; J Kim; Y Kang,4035 Background: Although tumor markers are known to be associated with tumor burdenand/or aggressive biology; any association of such markers with patient survival has notpreviously been determined in patients with metastatic or recurrent gastric cancer. Methods:Of 3;107 patients with metastatic or recurrent gastric cancer who initiated palliativechemotherapy in Asan Medical Center between January 2000 and December 2008; 1;178were assayed for expression of three serum tumor markers; CA 19-9; CA 72-4; and CEA;prior to initiation of first-line chemotherapy. We retrospectively analyzed the relationshipsbetween tumor marker concentrations and clinicopathologic features; and treatmentoutcomes in such patients. Results: Elevated serum concentrations of CA 19-9 (> 37 U/mL);CA 72-4 (> 4 U/mL); or CEA (> 6 ng/mL) were observed in 38.1%; 56.2%; and 33.1% of …,Journal of Clinical Oncology,2011,*
Effect of amino acid residues on N-terminal extension of GLP-1/IgG-Fc fusion protein,C Lee; J Boyineni; HS Chung; SH Jang,Glucagon-like peptide-1 (GLP-1) is an incretin hormone playing an important role in glucose-dependent insulin secretion and β-cell growth. However; GLP-1 is rapidly degraded bydipeptidyl peptidase IV (DPP-IV) in vivo. Many attempts have been made to develop long-acting GLP-1 analogs with chemical modification; amino acid substitution; and fusion proteintechnology. We previously showed that the N-terminal Ala-or Gly-extended GLP-1 andhuman immunoglobulin gamma heavy chain (IgG-Fc) fusion protein is resistant to DPP-IV invitro and induces expression of insulin receptor substrate-2 in INS-1 cells (Bull. KoreanChem. Soc. 2009 30 2471–2474). In this study; we substituted a polar; aliphatic; charged; oraromatic amino acid (Ser; Leu; Lys; Asp; or Phe) for Ala or Gly; which was tethered on the N-terminus of GLP-1/IgG-Fc fusion protein; and compared the effects on the GLP-1 receptor …,*,2011,*
터렛형 고속 선반의 구조 최적설계,이창조， 장성현， 최영휴， 김기현,본 논문에서는 공정집약과 공구선택의 폭을 높이는 터렛형 고속 소 형 선반에 대한 구조 최적설계를수행하였다. 공작기계의 가공정밀도 를 향상시키기 위해 구조물을 고강성으로 설계하는 것이중요하다. 이 에 본 논문에서는 터렛형 고속 선반의 실제 가공이 발생하는 주축계 끝단에서의정·동적 컴플라이언스를 최소화 하기위해 TMSA를 이용 한 구조물 부재의 치수최적설계를수행하였다 … 본 논문의 터렛형 고속 선반은 22;986개의 노드와 23.133개의 요소 로 구성된 쉘구조물로 유한요소 모델링 하였다. 구조물의 재질은 GCD300과 Steel을 사용되었으며; FE 모델에서경계조건은 Anchor Bolt로 고정되는 구조물의 하단 6곳을 모든 자유도에 대하여 고정시 켰다. 절삭력은1000 N의 동하중으로 주축계 중심부분에 이송분력; 배분력; 주분력의 방향으로 5:1:1로적용하였다. 공작기계의 3D 모델 링과 FEM 모델링은 아래 Fig. 1에 나타내었다 … 최적설계를위하여 TMSA를 사용하였으며; 설계변수 는 13개로 선정하였다. 중량과 정·동적 …,한국생산제조학회 학술발표대회 논문집,2010,*
Genetic changes in VP2 gene and pathogenic changes of CPV isolates in dogs during cell-adaptation,BK Kang; HJ Moon; CS Lee; KI Jung; SJ Park; BK Park; DS Song,Abstract Genetic change associated with long-term passage in cell culture (cell-adaptation)was studied in three isolates of canine parvovirus (CPV); DH426; DH326 and Pome; whichrepresent variant strains CPV-2a; DPV-2b; and CPV-2 avariant; respectively. Viruses weregrown on feline kidney cells for 50 to 60 passages; and the sequence of the VP2 gene ofeach strain was obtained by PCR after 0; 10; 20; 30; 40; 50 or 60 passages. The nucleotidesequences of the VP2 genes of passage level 60 (P60) DH426; P50 DH326 and P50 Pomecontained 7; 5; and 9 changes; respectively; which resulted in amino acid substitutions of 5;3; and 7 residues; respectively; compared to the parental viruses. These changes most likelyaccumulated during cell passage. Three common amino acid sustitutions in VP2 of DH426and Pome strain and one amino acid substitution at residue 300 of DH426 during …,Korean Journal of Veterinary Public Health,2010,*
Selectivity estimation of approximate predicates on text,Hongrae Lee,Description This dissertation studies selectivity estimation of approximate predicates on text.Intuitively; we aim to count the number of strings that are similar to a given query string. Thistype of problem is crucial in handling text in RDBMSs in an error-tolerant way. A commondifficulty in handling textual data is that they may contain typographical errors; or use similarbut different textual representations for the same real-world entity. To handle such data indatabases; approximate text processing has gained extensive interest and commercialdatabases have begun to incorporate such functionalities. One of the key components insuccessful integration of approximate text processing in RDBMSs is the selectivity estimationmodule; which is central in optimizing queries involving such predicates. However; thesedevelopments are relatively new and ad-hoc approaches; eg; using a constant; have …,*,2010,*
Severe Community-acquired Pneumococcal Pneumonia in a Tertiary Referral Center: Clinical Features and Outcomes,Sunghoon Park; Yong Il Hwang; Seung Hun Jang; Dong-gyu Kim; Yong Bum Park; Cheol-hong Kim; Chang Youl Lee; Myung Goo Lee; Changhwan Kim; Ki-suck Jung,Read 'Severe Community-acquired Pneumococcal Pneumonia in a Tertiary ReferralCenter: Clinical Features and Outcomes' on Ovid Insights.,Respirology,2009,*
Idsa/ats Minor Criteria for Sever Community-acquired Pneumonia Can Predict Clinical Response and Hospital Outcomes in Hospitalized Patients,Sunghoon Park; Yong Il Hwang; Seung Hun Jang; Dong-gyu Kim; Yong Bum Park; Cheol-hong Kim; Chang Youl Lee; Sang Myeon Park; Myung Goo Lee; Ki-suck Jung,Read 'IDSA/ATS Minor Criteria for Sever Community-acquired Pneumonia Can Predict ClinicalResponse and Hospital Outcomes in Hospitalized Patients' on Ovid Insights.,Respirology,2009,*
금속이온이 치환된 설폰화된 6FDA 계 폴리이미드 막의 기체 투과 특성,임현수， 이병성， 이보성， 윤석원， 고형철， 이충섭， 하성용， 정성일， 임지원,Abstracti Sulfonic acid of the sulfonated 6FDA-based polyimides were exchanged with themonovalent (Li"; Na" and K') and divalent (Mg"; Ca'" and Ba") ions. The effect of metalcations exchanged sulfonated polyimides was investigated in terms of gas permeability andselectivity for CO2; O2 and Ng gascs. Thormogravimetric analysis showed that thermalstability of sulfonated polyimide was improved by exchanged metal cations. Thepermeabilities of monovalent cation-exchanged; sulfonated polyimide were reduced as theion radius reduced Li"(0.059 nm)> Na"(0.102 nm)> K"(0.138 nm)]; and those of divalentcations exchanged were determined by the ionic radii and electrostatic crosslinking betweenthe polyner and metal cations; whereas the selectivities of all the metal cation-exchanged;sulfonated polyimides for CO/N2 and O/N were higher than those of sulfonated polyimide …,폴리머,2009,*
Heat insulation performance of marine structures,Jen-Chieh Lee; Song-Kuo Chang,The performance of heat insulation of marine structures is investigated using numericalsimulation; Eurocode's formula calculation; and experimental measurement. Two popularfire protection materials of rock wool 60k (60 kg/m3) and ceramic fiber 80k (80 kg/m3) arechosen to show the requisite minimum thickness for marine structures to meet the regulationof IMO heat insulation A-class. Compared with the results of Eurocode's formula calculationand experimental measurement; the effectiveness of the heat insulation performance ofmarine structures; predicted from numerical simulation; can be demonstrated. The numericalsimulation shows that the heat insulation performance of marine structures with fireprotection material of ceramic fiber (25 mm) or rock wool (50 mm) meets the requirement ofA-30 class. Though there is an obvious difference between the results from numerical …,Journal of Ship Research,2009,*
P. 3. b. 008 Dysbindin gene (DTNBP1) and schizophrenia in Korean population,JJ Kim; CU Pae; TY Jun; KI Jung; CU Lee; C Lee; IH Paik,*,European Neuropsychopharmacology,2009,*
Correlation Between Fatty Liver Grading and Abdominal Fat; Using Hepatic Attenuation Value and Fat Volume,S Jang; C Lee; K Kim; J Choi; J Lee; C Park,*,AMERICAN JOURNAL OF ROENTGENOLOGY,2009,*
Novel Fabrication of Protein Nanoarrays via Ribosome Display and Dip-Pen Nanolithography,Jung Dong KIM; Soo Min PARK; JUNG Hyungil,Cell microarrays could constitute new weapons of mass analysis in the arsenal of biologistsand pharmacists. The advantage of cell microarrays is the opportunity to measureparameters on hundreds of individual cells and average them; instead of measuring theparameters of a whole cell population as well as the increased sensitivity as assay volumeshrinks.“Shape encoded cell array” does not rely on x and y coordinates on an array toidentify the cell type compared with 'Positional cell array'; but on a 'shape code.'In this study;we fabricated various shapes of PEG hydrogel microparticles.. PEG hydrogel microparticleswere photocrosslinked with a small amount of acrylic acid to provide functional groups thatenables protein immobilization via EDC/NHS method in the PEGDA (poly (ethyleneglycol)diacrylate; Mw700) precursor. After that; NIH-3T3 cell; a species of fibroblast; or …,한국생물공학회 학술대회,2009,*
Development of pSJE6c; an Expression Vector Kimchi Lactic Acid Bacteria; and Heterologous Gene Expression Using the Vector,Kang-Wook Lee; Ji-Yeong Park; Ji-Yeon Lee; Hwang-A Lee; Chang-Un Baek; Hyeon-Deok Jo; Joo-Yeon Kim; Gun-Hee Kwon; Ji_Yeon Chun; Jeong-Hwan Kim,Abstract Development of expression vectors is important for the basic and appliedresearches on kimchi LAB (lactic acid bacteria). An expression vector; pSJE6c wasconstructed by inserting P6C promoter sequence from Lactococcus lactis into pSJE; ashuttle vector for E. coli and Leuconostoc species. To test the efficiency of pSJE6c; aga (α-galactosidase) and lacZ (β-galactosidase) genes were expressed in Lactobacillus brevis2.14. Compared to the pSJE; expression levels of both genes were increased; indicatingP6C promoter was better than indigenous promoters. Enzyme activities of L. brevis cellsharboring pSJE6caga (pSJE6c with aga) or pSJE6Z (pSJE6c with lacZ) were 1.5-2 foldhigher than those with pSJEaga (pSJE with aga) or pSJEZ (pSJE with lacZ). More RNAtranscripts were detected in cells harboring pSJE6c based recombinant plasmid. The …,Korean Journal of Microbiology and Biotechnology,2009,*
Safety of accelerated schedules of allergen-immunotherapy in the treatment of atopic dermatitis,D Nahm; J Sung; J Lee; H Park; G Choi; S Jeon,Read 'Safety of accelerated schedules of allergen-immunotherapyin the treatment of atopic dermatitis' on Ovid Insights.,Allergy: European Journal of Allergy and Clinical Immunology,2009,*
위-식도 주위 혈관 제거술을 시행 받은 위저부 정맥류 출혈환자의 추적 관찰 결과,구민영， 이주호， 김현아， 민석기， 이현국， 한호성,Purpose: Gastric variceal bleeding in cirrhotic patient is an emergent; life threateningdisease of which the adequate treatment is still in dispute. The periesophagogastricdevascularization (PD) would be the alternative operative procedure. The aim of this study isto evaluate the safety and long-term results of PD for the gastric fundal variceal bleeding.Methods: A retrospective analysis was made of fifty-two patients with gastric varicealbleeding who underwent PD with or without fundectomy from August 1994 to March 2006.We evaluated the clinical characteristics; operative morbidity; mortality and long-term followup results. Results: The operative morbidity was 34.9% and overall mortality was 17.3%. TheChild-Pugh classification at operation; the number of previous varix bleeding episode; thesuccess of preoperative intervention; splenectomy; esophageal transection; and ongoing …,Annals of Surgical Treatment and Research,2007,*
P944 Bacteraemia caused by high-level gentamicin-resistant Enterococcus: risk factors; clinical features and outcomes,HC Jang; W Park; C-I Kang; S Kim; C Lee; S-W Park; E Kim; H-B Kim; N-J Kim; E-C Kim; M-D Oh; K-W Choe,*,International Journal of Antimicrobial Agents,2007,*
Analysis of a functional serotonin transporter gene polymorphism of normal controls and patients with schizophrenia in Korean population,IH Paik; C Lee; JJ Kim; SJ Lee; CU Lee; KI Jung,*,European Neuropsychopharmacology,2002,*
Synthetic pseudo-ceramide containing atocopherol (Tocomide (TM)) showed antioxidative effect and improved barrier recovery rate in disrupted hairless mice skin,G Nam; E Son; S Ahn; AJ Kim; H Rho; C Lee; B Lee; I Chang,*,JOURNAL OF INVESTIGATIVE DERMATOLOGY,2002,*
The Effects of Hyperhomocysteinemia on the Ultrastructures of Cerebral Microvessels,Ho Jin Kim; Young Hwa Kim; Nam Soo Chang; Hee Lai Lee; Hwa Young Lee,Abstract Elevated plasma level of the sulfur amino acid homocysteine; termedhyperhomocysteinemia; is now recognized as a contributing factor to various pathologicalstates of the brain including vascular; degenerative and other neurologic disorders.Endothelial dysfunction may be one of the underlying mechanisms leading toproatherogenic and neurotoxic effects associated hyperhomocysteinemia. We conductedelectron microscopic studies to investigate microvascular changes in hyperhomocysteinemicrat brain due to folate deficiency. Dietary folate deprivation caused an increase in plasmaHcy by 317% from 6.15+/-0.9 micro mol/l to 19.5+/-3.2 micro mol/l with time up to 8 weeks offolate deprivation. In electron microscopic study; perivascular amorphous fibrosis; andpericytic and endothelial cell degenerative appearance were frequently found in …,The Korean Journal of Anatomy,2002,*
Immunohistochemical Localization of Guanine Aminohydrolase; a Protein Identical with Novel Protein p51-nedasin; and SAP 102 in the Rat Retina,Young Hwa Kim; Hwa Young Lee,Abstract Guanine aminohydrolase (GAH); one of purine metabolizing enzymes rich in thenervous system was proved to have identical amino acid sequence to a recently identifiednovel protein p51-nedasin; NE-dlg/SAP102-associated protein. Nedasin has been reportedto localize at neuronal cell bodies and binds to SAP102; so it might have a role inmodulating NMDA receptor 2B clustering of SAP102 or synaptic organization in neuronalcells. In this study; we localize GAH and SAP102 in rat retina using immunohistochemicalmethod. Immunoreactivities are detected for both GAH and SAP102 in ganglion cell layer;inner plexiform layer; inner nuclear layer; outer plexiform layer and pigment layer. Theyseemed to be colocalized in ganglion cells; amacrine cells; horizontal cells and pigmentcells. The staining profile for SAP102 is almost identical with NMDA receptor 2B mainly in …,The Korean Journal of Anatomy,2002,*
Immunohistochemical localization of heme oxygenase isozymes in the aged rat retina,Hwa Young Lee,Abstract Heme oxygenase (HO)-1 and-2 isozymes are important markers for the oxidativestress. We localized HO-1 and HO-2 immunoreactivities and assessed the effect of aging ondistribution of HO in the young and aged rat retina by immunohistochemical method. HO-1and HO-2 showed partly different patterns of localization; indicating possibilities of differentregulation of these two isozymes in the retina. HO-2 immunoreactivity was localized to someretinal neurons in ganglion cell layer and inner nuclear layer involving both of plexiformlayers and pigment epithelium. The distribution of HO-2 positive cells did not show anydifference between aged and young rat. In the case of HO-1; the immunoreactivity is found inretinal layers except outer nuclear layer and layer of rods and cones of young rat retina. Thedistribution of HO-1 immunoreactivity in old rat retina does not show remarkable …,The Korean Journal of Anatomy,2001,*
A Part Scheme in Single-Stage Multimachine Systems,CS Lee; SS Kim; IC Choi; HM Rho,In current manufacturing environments; manufacturing orders are often characterised byunstable market demand; short product life cycles; carieties of products; and shoryproduction lead times. In order to fulfil such manufacturing orders; a recent trend in flexiblemanufacturing systems (FMS) is to use versatile machines with fast tool delivery devices. Incontrast to a conventional FMS that mainly focuses on part flows; tool flow control isimportant in single-stage multimachine systems (SSMS); which consist of versatile machinesand fast tool delivery devices. This study proposes a part release scheme for SSMS; whichconsiders the projected tool competition at the part release stage. This scheme can beapplied to a real environment to improve system performance. The effectiveness of thescheme is demonstrated through a series of simulation experiments. Interpretations of the …,The International Journal of Advanced Manufacturing Technology,2001,*
Molecular Application in Psychiatry,Ihn Geun Choi,Ihn-Geun Choi; MD; Ph. D.**† he development of molecular biology has brought manychanges in psychiatry. Molecular biology makes us possible to know the cause of mentaldisorders that provide the way to prevent the disorders; and to develop various accuratediagnostic and treatment methods for mental disorders. The author discusses the concept;cause; and treatment of mental disorders in the aspect of molecular biology. Importing themethods of molecular biology into psychiatry; we can anticipate to get a number of the goalsof psychiatric genetics; including identification of specific susceptibility genes; clarification ofthe pathophysiological processes whereby these genes lead to symptoms; establishment ofepigenetic factors that interact with these genes to produce disease; validation ofnosological boundaries that more closely reflect the actions of these genes; and …,Journal of Korean Society of Biological Psychiatry,2000,*
[그들과 함께하는 이유] 최현숙 박아기 안나 씨,신진숙,비웃을 것인가; 아니면 그까짓 이념이 뭐라고 한 사람의 인생을 그 긴 시간 동안 묶어두었느냐고따져 물어야 할 것인가. 천주교 장기수 가족 후원회 (z 02-747-2443) 에서 일하고 있는 최현숙박이기 안나 씨 (44 세). 그이는 6.25 를 직접 겪은 세대는 아니다. 그렇다고 장기수를 가족으로둔 사람도 아니다. 그런 그이가 처음 장기수 가족 후원회를 만들기로 작정했을 때; 누구보다도자신이 더욱 놀라고 두려웠다고 한다.“왜 그런 생각이 들었는지 몰라요. 그저 내가 해야 할일이라는 확신이 점점크게 자리잡았을 뿐입니다." 성가대; 주일학교 교사; 빈첸시오회 회원 등세례를 받은 이후로 누구보다도 본당활동을 열심히 해왔던 최현숙 씨에게 어느 날 신앙의 위기(?) 가 찾아왔다.'이렇게 사는 것이 내 신앙생활의 전부인가? 내가 다음에 해야 할 일이무엇일까? 이런 생각을 할 때쯤 지금은 인권운동을 하고 있는 서준식 씨가 오랜감옥살이를 하고나와 주변의 장기수들 이야기를 들려주었고; 그 이야기를 들으면서 그들을 돕는 것이 바로 …,경향잡지,2000,*
高密度脂蛋白之影響因素-飲食; 體能及荷爾蒙 (上篇: 飲食),盧立卿， 賴宜君， 吳文惠,High density lipoprotein (HDL) plays the central role in reverse cholesterol transport; whichwith highest density and abundant protein component of the lipoprotein moieties. NascentHDL accepts unesterified cholesterol from peripheral tissues; esterified the free cholesteroland moves cholesterol ester to the core of HDL; then carries the cholesterol ester to liver forfurther metabolism. Therefore; HDL decreases the peripheral cholesterol deposition andreduces the risk for developing atherosclerotic diseases. In 1988 and 1993; both versions ofthe National Cholesterol Education Program in USA added HDL-Cholesterol (HDL-C) lessthan 35 mg/dL as a risk for coronary heart disease along with other risk factors such asdiabetes and hypertension. The nutritionists in Taiwan often were asked the questions like”Is it necessary to raise the HDL level?” and” How to raise the HDL level?” by the clients …,臺灣營養學會雜誌,1999,*
筋電図解析による腰椎起立筋の疲労と腰痛に関する研究,若野， 大西， 祥平， 山崎,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,臨床スポーツ医学= The journal of clinical sports medicine,1998,*
SESSION 5-SOIL FERTILITY MANAGEMENT: N Fertilizer Recommendation for Rice Using Soil Test Data Cosidering the Balance among Organic Matter; Silicon an...,Chon Suh Park; KY Jung; BY Heu; JW Hong; YH Park; CS Lee,Page 1. Page 2.,한국토양비료학회 국제학술발표논문집,1997,*
Preparation of Ultrafine Magnetite Using Fe (OH) 2 (s) and Fe (OH) 3 (s).,李孝淑， 康南基， 呉在賢,前報にて固体-固体反応による磁鉄鉱の生成機構を導出した. この反応機構を明確にするたあに;本報では Fe (OH) 3 懸濁液と Fe (OH) 2 懸濁液との混合また Fe (OH) 3 粉末と Fe (OH) 2ケーキを機械的に撹拌した場合の生成産物の観察を試みた. その結果いずれの場合も純粋な-100Å の超微粒磁鉄鉱が生成され Fe (OH) 2 (s) と Fe (OH) 3 (s) の固体一固体反応による磁鉄鉱の生成を再確認した. pH9. 0 にて合成された磁鉄鉱が磁性流体としてもっとも適していることがわかった.,資源と素材,1994,*
Swelling Behavior and Hydration Number of Langmuir-Blodgett Films of Metal-Palmitate Deposited on a Piezoelectric Quartz Crystal Plate,Chung Jong-Jae; Seo Byung-Il,Abstract Monolayers of calcium palmitate were deposited on a piezoelectric quartz crystalplate by the Langmuir-Blodgett (LB) technique; and it was found from frequency changes ofthe quartz crystal deposited LB films. The usual carbonyl absorbance at 1704 cm wasreplaced by the split band in the 1540~ 1590 cm. The two absorptions at 1580 cm and 1540cm were assigned to the antisymmetric stretching vibration of the calcium carboxylate groupand the hydrated species due to the lowering carbonyl stretching frequency by hydrogenbonding respectively. Besides; it was demonstrated by X-ray diffraction analysis. Theswelling behaviour of LB films in water phase at 23 was observed from the frequencychange of the LB films deposited quartz crystal with time. Calcium palmitate LB films hasbeen found to swell substantially in water without flaking; whereas hexadecanol LB films …,Journal of the Korean Chemical Society,1993,*
Improved Adhesion of Platinum to Polymers,DP Geunan Goodmonson; RA Periana,26 N. Shezad; RS Oakes; AA Clifford and CM Rayner; Tetrahedron Lett.; 1999;40;222 1 27 ASRoss and T. E. Goodwin; Book of Abstracts; 2 1 lth ACS National Meeting; New Orleans; LA;March 24-28th; 1996; CHED-122 … 28 T. Jeffery; Tetrahedron Len.; 1985;26; 2667 29 T.Jeffery; Synthesis; 1987; 70 … 30 T. Jeffery; J. Chem. SOC.; Chem. Commun.; 1984 … 31T. Jeffery; Tetrahedron; 1996; 52; (30); 10113 32 JH Dygos; EE Yonan; MG Scaros; 0. J.Goodmonson; D. P. Geunan; RA Periana and GR Beck; Synthesis; 1992; 741 33 S. A. Robertoand R. L. Augustine; Chemical Industries; “Catalysis of Organic Reactions”; Decker; NewYork; 1996;68;465 34 L. Jintong; AW-H. Mau and CR Strauss; Chem. Commun.; 1997; 127535 L. Tonks; M. S. Anson; K. Hellgardt; AR Mirza; DF Thompson and JMJ Williams; TetrahedronLett.; 1997; 33; (24); 4319 36 BM Choudhary; RM Sarma and KK Rao; Tetrahedron …,Synlett,1992,*
Extraction of Indole Alkaloids from Catharanthus roseus Using Supercritical Carbon Dioxide,Song Kyu-Min; Yoon Ji-Ho; Lee Huen; Hong Won-Hi; Yang Seung-Man,Abstract Most of useful components such as foods; medicines and flavors are extracted fromthe intact plant materials; containing those valuable materials that are very difficult to besynthesized artificially. One of useful components is vindoline which is known to be thebiosynthetic precursor of the dimeric alkaloids; vinblastine and vincristine. These two dimericalkaloids have been used in chemotheraphy such as in the treatment of Hodgkin's diseaseand acute leukemia [1; 3]. However; bulk production of vindoline has not been successful byplant cell tissue cultures although catharanthine; another biosynthetic precursor; has beenso produced [2; 4]. In addition; as vindoline content in the intact plant is quite small; itsisolation by column chromatographies on a large scale is tedious and time-consuming. Inthis connection the extraction of vindoline from Catharanthus roseus using the …,*,1992,*
Obtaining Shape from Knowledge About Scenes Information,Han-Sik Lee; Ho-Gweon Lee; Kum-Boo Kang,ABSTRACT: It has proved very difficult to work out a complete line drawing way withoutusing any knowledge about constraints that limit what can possibly be in the scene. If theline drawing has some errors; further analysis based on its likely to lead to serious mistakes.This paper describes what to recognize objects without a rigid ordering of steps and withfuller use of previous results as analysis proceeds.,ICEIC: International Conference on Electronics; Informations and Communications,1991,*
COMBINATORIAL IDENTITIES,JM Hammersley,COMBINATORIAL IDENTITIES By JOHN RIORDAN: pp. xii; 256; £7 (John Wiley and SonsLtd.; Chichester; 1968). INTRODUCTION TO COMBINATORIAL MATHEMATICS By CL Liu:pp. x; 393; $13.50 (McGraw-Hill Book Co.; New York; 1968). SOLUTIONS TO PROBLEMS INCL LIU'S INTRODUCTION TO COMBINATORIAL MATHEMATICS By MURRAY EDELBERG:pp. vi; 238; 47s. (McGraw-Hill Book Co.; New York; 1968). Combinatorial analysis is a ratherfragmentary subject: it has few general techniques and few unifying principles. From time totime; mathematicians (for example; MacMahon) have sought to bring some sort of order andstructure to the subject by writing textbooks. This is what Mr. Riordan; one of the world's leadingcombinatorialists; now sets out to do with combinatorial identities; and the present book is a companionto his earlier text An Introduction to Combinatorial Analysis (1958). As he says in his …,*,1971,*
iv contents,BT LANG,Discussion on the Use of Salvarsan illOphtlhalmllic Prztetice (conntinued). 98 Dr. RHELLIOT (P. 98) 1Mr. E. ERSKINE HENDERSON (P. 102)-Mr. ALEXANDER FLEMING (p.103) Major LW HARRISON; RAMC (p. 104)-Mr. PARSONS (p. 105)-Mr. BROWNING (p. 106)-Mr. LESLIE PATON (p. 106) Major HARRISON (p. 107) MIr. BASIL LANG (p. 107)-SirANDERSON CRITCHETT; Bt.; CVO (P. 108),*,1913,*
Ginsenoside F1 exerts the whitening effects through the reduced dendrite formation of melanocytes in human experimental systems,Chang-Seok Lee; Gi-Baeg Nam; Il-Hong Bae; Jun-Seong Park,Ginsenosides are the major active ingredients of ginseng; a constituent of variousbiomedical treatments; such as immunomodulation and anti-inflammation drugs. In skinphysiology; ginsenosides affect pigment regulation and exhibit anti-aging activity. Accordingto recent reports; ginsenoside Rg1 increases melanogenesis and tyrosinase activity inhuman melanocytes [1]. In contrast; ginsenoside F1 (GF1); a metabolite produced byhydrolysis of Rg1; is reported to inhibit visible pigmentation. A clinical study by Han et al.[2]demonstrated a skin whitening effect of GF1 on artificially tanned human skin caused byinterleukin 13 (IL-13) production from human epidermal γδ T cells. Kim and co-workersshowed that GF1 reduces melanin secretion through dendrite retraction with no effects onthe intracellular melanin content and tyrosinase expression in α-MSH-stimulated B16F10 …,*,*,*
EH’éFEOlIAi” 5.1524 B?!{l ‘ﬁﬂlolﬁiﬁ LHE'iil-‘Ei $ r£ IlEI 234,Choi Soo Keun Won Sang Lee; Seong Kee Kim; Hyune Mo Rho,*,*,*,*
