Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
Published online: 8 March 2005 M. Tamer Özsu: Coordinating Editor-in-Chief,Alon Y Halevy; Zachary G Ives; Dan Suciu; Igor Tatarinov; Avigdor Gal; Ateret Anaby-Tavor; Alberto Trombetta; Danilo Montesi; Dengfeng Gao; Christian S Jensen; Richard T Snodgrass; Michael D Soo; Yannis Tzitzikas; Nicolas Spyratos; Panos Constantopoulos,. One of the challenging problems that Web service technology faces is the ability toeffectively discover services based on their capabilities. We present an approach to tacklingthis problem in the context of description logics (DLs). We formalize service discovery as anew instance of the problem of rewriting concepts using terminologies. We call this newinstance the best covering problem. We...,The VLDB Journal,2005,*
The island approach to nearest neighbor querying in spatial networks,S Saltenis,*,*,2005,*
IT-Driven Customer Service or Customer-Driven IT Service: Does IT Matter?,J Damsgaard; J Hørlück; Christian Søndergaard Jensen,Abstract: This case deals with a large European financial institution that has built anextensive IT infrastructure to serve its multi channel approach to its customers at the sametime as changing into a modern financial supermarket with a large portfolio of almost allfinancial services. Experience has shown that in this industry; IT does matter. As anexample: a few days after take over of a competitor; this competitor's previous owner-105small banks-sold Nykredit's products through their 1150 branches. The case can thus beused in a discussion of Nicholas Carr's article" IT Doesn't Matter"(Carr; Nicholas G.(2003)."IT Doesn't Matter." Harward Business Review (May): 41-49). Traditionally mortgage bankingwould mean either building an extensive branch network backed by central staff functions orjoining forces with an existing retail financial institution. However; the Internet made …,*,2005,*
Efficient indexing of the historical; and future positions of moving,D Lin; CS Jensen; BC Ooi; S Šaltenis,Although significant effort has been put into the development of efficient spatio-temporalindexing techniques for moving objects; little attention has been given to the development oftechniques that efficiently support queries about the past; present; and future positions ofobjects. The provisioning of such techniques is challenging; both because of the nature ofthe data; which reflects continuous movement; and because of the types of queries to besupported. This paper proposes the BBx-index structure; which indexes the positions ofmoving objects; given as linear functions of time; at any time. The index stores linearizedmoving-object locations in a forest of B+-trees. The index supports queries that selectobjects based on temporal and spatial constraints; such as queries that retrieve all objectswhose positions fall within a spatial range during a set of time intervals. Empirical …,*,2005,*
04441 Working Group--Research Issues in Mobile Querying,Martin Breunig; Christian S Jensen,Abstract This document reports on key aspects of the discussions conducted within theworking group. In particular; the document aims to offer a structured and somewhat digestedsummary of the group's discussions. The document first offers concepts that enablecharacterization of" mobile queries''as well as the types of systems that enable such queries.It explores the notion of context in mobile queries. The document ends with a fewobservations; mainly regarding challenges.,Dagstuhl Seminar Proceedings,2005,*
VLDB 2005: 31st International Conference on Very Large Data Bases: Proceedings of the 31st International Conference on Very Large Data Bases; Trondheim; Nor...,Klemens Böhm,*,*,2005,*
Multidimensional Databases,Torben Bach Pedersen; Christian S Jensen,*,*,2004,*
Multidimensional Databases,Torben Bach Pedersen; Christian S Jensen,*,*,2004,*
Integrating Multiple Calendars using Zaman,Bedirhan Urgun; Curtis E Dyreson; Nick Kline; Jessica K Miller; Richard T Snodgrass; Michael D Soo; Christian S Jensen,Abstract Programmers world-wide are interested in developing applications that can beused internationally. Part of the internationalization effort is the ability to engineerapplications to use dates and times that conform to local calendars yet can inter-operate withdates and times in other calendars; for instance between the Gregorian and Islamiccalendars. Gzaman is a system that provides a natural language and calendar-independentframework for integrating multiple calendars. Gzaman performs “runtimebinding” ofcalendars and language support. A running Gzaman system dynamically loads calendarsand language support tables from XML-formatted files. Loading a calendar integrates it withother; already loaded calendars; enabling users of Gzaman to add; compare; and converttimes between multiple calendars. Gzaman also provides a flexible; calendar …,*,2004,*
Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,CUI Bin; Cui Keng Lik Teo; Christian S Jensen,Abstract Advances in hardware-related technologies promise to enable new datamanagement applications that monitor continuous processes. In these applications;enormous amounts of state samples are obtained via sensors and are streamed to adatabase. Further; updates are very frequent and may exhibit locality. While the R-tree is theindex of choice for multi-dimensional data with low dimensionality; and is thus relevant tothese applications; R-tree updates are also relatively inefficient. We present a bottom-upupdate strategy for R-trees that generalizes existing update techniques and aims to improveupdate performance. It has different levels of reorganization—ranging from global to local—during updates; avoiding expensive top-down updates. A compact main-memory summarystructure that allows direct access to the R-tree index nodes is used together with efficient …,*,2004,*
Det begynder i skolen-En ATV-rapport om naturfagenes vilkår og fremtidige udviklingsmuligheder i grundskolen,Mikkel Bohm; Erik Bonnerup; Claus Elberling; Christian Søndergaard Jensen; Carl P Knudsen; Lia Leffland; Henrik Hautop Lund; Niels Olsen; Lars Pallesen; Knud Sørensen,Abstract: ATV giver med dette debatoplæg for første gang sit bud på; hvordannaturfagsundervisningen specifikt og fagligheden generelt kan styrkes i grundskolen. Detgør vi; fordi den danske grundskole har ondt i fagligheden-og særlig ondt i naturfagligheden.Undervisningen i Natur og Teknik bliver nedprioriteret; de naturfaglige miljøer på skolernehar mange steder ringe gennemslagskraft; og alt for mange elever mister i løbet af deresskoletid interessen for naturfagene. Dette er ikke en tilfredsstillende situation for den størsteog vigtigste uddannelses-og kulturinstitution i Danmark. Det er i grundskolen; vi skal sætteind for at nære og bevare elevernes interesse for naturfag og teknik. Denne interesse skaleleverne kunne tage med sig på deres færd gennem uddannelsessystemet-ud påarbejdsmarkedet og videre ud i samfundet. Indsigt i natur og teknologi er nødvendig for at …,*,2004,*
Indeterminacy and Spatiotemporal Data: the Moving Point Object Case,Dieter Pfoser; Nectaria Tryfona; Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389384658 …,*,2004,*
Towards a Handbook for User-Centred Mobile Application Design,Susanne Boll; Martin Breunig; Nigel Davies; Christian Jensen; Birgitta König-Ries; Florian Matthes; Simonas Saltenis; Thomas Schwarz,The starting point for the discussions in the working group was the observation that it isharder to design mobile applications than “normal” ones. Starting from there; we first tried toidentify reasons why this is the case. Our approach to doing so was to first collect anddiscuss sample scenarios for mobile applications and their characteristics. We then sharedour experiences in developing applications for some of these scenarios. We quickly realizedthat the term “mobile applications” covers an area that is too broad to come up with anycommon characteristics for all the different application domains and scenarios. Therefore;we decided to concentrate on applications supporting mobile users (in contrast to; egapplications where exclusively or primarily the code is mobile or applications with no humanuser). From there; we tried to identify design dimensions that need to be regarded when …,Proceedings,2004,*
Research Issues in Mobile Querying,M Breunig; Christian Søndergaard Jensen; M Klein; A Zeitz; G Koloniari; J Grünbauer; PJ Marrón; C Panieyiotoa; S Boll; Simonas Saltenis; K-U Sattler; M Hauswirth; W Lehner; O Wolfson,Abstract: This document reports on key aspects of the discussions conducted within theworking group. In particular; the document aims to offer a structured and somewhat digestedsummary of the group's discussions. The document first offers concepts that enablecharacterization of" mobile queries" as well as the types of systems that enable suchqueries. It explores the notion of context in mobile queries. The document ends with a fewobservations; mainly regarding challenges.,Dagstuhl Seminar Proceedings,2004,*
Advances in Spatial and Temporal Databases: 7th International Symposium; SSTD 2001; Redondo Beach; CA; USA; July 12-15; 2001 Proceedings,Christian S Jensen; Markus Schneider; Bernhard Seeger; Vassilis J Tsotras,The Seventh International Symposium on Spatial and Temporal Databases (SSTD 2001);held in Redondo Beach; CA; USA; July 12 {15; 2001; brought together leading researchersand developers in the area of spatial; temporal; and spatio-temporal databases to discussthe state of the art in spatial and temporal data management and applications; and tounderstand the challenges and-search directions in the advancing area of datamanagement for moving objects. The symposium served as a forum for disseminatingresearch in spatial and temporal data management; and for maximizing the interchange ofknowledge among researchers from the established spatial and temporal database com-nities. The exchange of research ideas and results not only contributes to the academicarena; but also bene ts the user and commercial communities. SSTD 2001 was the …,*,2003,*
Introduction to special issue with best papers from EDBT 2002,Christian S Jensen,*,*,2003,*
Special Issue of Information Systems With Best Papers from EDBT,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389383405 …,*,2003,*
Requirements for UML and OWL Integration Tool for User Data Consistency Modeling and Testing,JP Nytun; Christian Søndergaard Jensen; VA Oleshchuk,Abstract: The amount of data available on the Internet is continuously increasing;consequentially there is a growing need for tools that help to analyse the data. Testing ofconsistency among data received from different sources is made difficult by the number ofdifferent languages and schemas being used. In this paper we analyze requirements for atool that support integration of UML models and ontologies written in languages like theW3C Web Ontology Language (OWL). The tool can be used in the following way: afterloading two legacy models into the tool; the tool user connects them by inserting modelingconstructs like classes; associations and Object Constraint Language (OCL) statements. It isthe tool users responsibility to connected the legacy models in such a way that consistencyis beeing explicitly defined. A special modeling technique it to be used when specifying …,Requirements for UML and OWL Integration Tool for User Data Consistency Modeling and Testing,2003,*
Query Language Concepts,Michael H Bohlen; Christian S Jensen,GLOSSARY bitemporal relation A relation with exactly one systemsupported valid time andexactly one systemsupported transaction time. calendar Provides a human interpretation oftime. As such; calendars ascribe meaning to temporal values where the particular meaningor interpretation is relevant to the user. In particular; calendars determine the mappingbetween human-meaningful time values and an underlying time-line. chronon; time instant;time point A (one-dimensional) chronon is a nondecomposable time interval of some fixed;minimal duration. An n-dimensional chronon is a nondecomposable region in» dimensionaltime. Important special types of chronons include validtime; transaction-time; and bitemporalchronons. This article uses time instant and time point as synonyms to chronon; and; inkeeping with the literature on which the article is based; we generally prefer the latter term …,*,2003,*
Special Issue of the IEEE Data Engineering Bulletin on Infrastructure for Research in Spatio-Temporal Query Processing,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389384740 …,*,2003,*
Computational Data Modeling for Network-Constrained Moving Objects,Christian Søndergaard Jensen; L Speicys; A Kligys,Abstract: Advances in wireless communications; positioning technology; and other hardwaretechnologies combine to enable a range of applications that use a mobile user s geo-spatialdata to deliver online; location-enhanced services; often referred to as location-basedservices. Assuming that the service users are constrained to a transportation network; thispaper develops data structures that model road networks; the mobile users; and stationaryobjects of interest. The proposed framework encompasses two supplementary road networkrepresentations; namely a two-dimensional representation and a graph representation.These capture aspects of the problem domain that are required in order to support thequerying that underlies the envisioned location-based services.,Computational Data Modeling for Network-Constrained Moving Objects,2003,*
IEEE Data Engineering Bulletin: Special Issue on Indexing of Moving Objects; Vol. 25; No. 2,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389383401 …,*,2002,*
Towards Virtual Worlds and Augmented Realities: A Research Agenda,Christian S Jensen; Jan P Nytun; Mikael Snaprud,Abstract Powerful drivers combine to enable the capture of reality in computers as well asthe ubiquitous delivery of information content and services; based on the captured reality.We outline key drivers; exemplify application areas related to the research agenda; anddescribe briefly general software challenges as well as one specific data representationchallenge to software technologies posed by the research agenda. I. BACKGROUND Weare currently witnessing a number of important trends that serve as powerful drivers ofadvances in software technologies.• Communication technologies improve rapidly. Whilethe most revolutionary improvements may relate to wireless technologies; this also appliesto wireline communication.• We see rapid progress in sensor technologies. For example; theSmart Dust project at the University of California; Berkeley; aims to deliver autonomous …,*,2002,*
Location-Enabled Services: A Data Management Perspective,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389346536 …,Location-Enabled Services,2002,*
Indexing of Objects on the Move,Simonas Šaltenis; Christian S Jensen,Abstract Visionaries predict that the Internet will soon extend to billions of wireless devices;or objects; a substantial fraction of which will offer their changing positions to location-enabled services. This chapter assumes an Internet-service scenario where objects thathave not reported their position within a specified duration of time are expected to no longerbe interested in; or of interest to; the service. Due to the possibility of many “expiring'”objects; a highly dynamic database results. The chapter describes two R-tree basedtechniques for the indexing of the current positions of such objects. These indexingtechniques accommodate object positions that are described by linear functions of time.They employ novel types of bounding regions; as well as new algorithms for maintainingtheir tree structure. The results of quite encouraging performance experiments are …,*,2002,*
Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology: Proceedings,J Pokornì; S Saltenis; E Bertino,*,*,2002,*
Data Representation and Indexing in Location-Enabled M-Services,Christian S Jensen; Simonas Saltenis,Abstract Rapid; sustained advances in key computing technologies combine to enable anew class of computing services that aim to meet needs of mobile users. These ubiquitousand intelligent services adapt to each user's particular preferences and currentcircumstances---they are personalized. The services exploit data available from multiplesources; including data on past interactions with the users; data accessible via the Internet;and data obtained from sensors. The user's geographical location is particularly central tothese services. We outline some of the research challenges that aim to meet the datarepresentation and indexing needs of such services.,*,2002,*
School of EE and CS Department of Computer Science Washington State University; USA Aalborg University; Denmark cdyreson@ eecs. wsu. edu boehlen@ cs. au...,Curtis E Dyreson; Michael H Böhlen; Christian S Jensen,Abstract This paper presents the METAXPath data model and query language. METAXPathextends XPath with support for XML metadata. XPath is a specification language forlocations in an XML document. It serves as the basis for XML query languages like XSLTand the XML Query Algebra. The METAXPath data model is a nested XPath tree. Each levelof metadata induces a new level of nesting. The data model separates metadata and datainto different dataspaces; supports meta-metadata; and enables sharing of metadatacommon to a group of nodes without duplication. The METAXPath query language has alevel shift operator to shift a query from a data level to a metadata level. METAXPathmaximally reuses XPath hence the changes needed to support metadata are few.METAXPath is fully compatible with XPath.,Journal of Digital Information,2001,*
Jiang H.; 237 Johannesson P.; 165,AC Jones; FA Bisby; M Bouzeghoub; SM Brandt; S Bressan; C Calero; F Casati; X Castellani; CM Chen; G Chen; D Cheung; DKW Chiu; R Cicchetti; O Dıaz; K Dittrich; CE Dyreson; SM Embury; W Fan; BA Farshcian; J Gomez; WA Gray; S Guha; A Gupta; W Han; E Insfran; T Isakowitz; M Jarke; CS Jensen,*,*,2001,*
Modeling Geographic Data-Requirements and Research Issues,Anders Friis-Christensen; N Tryfona; Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389346559 …,Modeling Geographic Data-Requirements and Research Issues,2001,*
SPECIAL SECTION: 16TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING-A Foundation for Conventional and Temporal Query Optimization Addressin...,G Slivinskas; CS Jensen; RT Snodgrass,*,IEEE Transactions on Knowledge and Data Engineering,2001,*
Mobile E-Services and Their Challenges to Data,Christian Søndergaard Jensen; Torben Bach Pedersen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389346560 …,Mobile E-Services and Their Challenges to Data,2001,*
Novel Approaches in Query Processing for Moving Objects Chorochronos Technical Report,D Pfoser; Y Theodoridis; CS Jensen,*,*,2000,*
BNovel approaches in query processing for moving objects data,D Pfoser; CS Jensen; Y Theodoridis,*,Proceedings of the 26th International Conference on Very Large Data Bases; 395Y406,2000,*
A Foundation for Conventional and Temporal Query Optimization,Giedrius Slivinskas; Christian Søndergaard Jensen; RT Snodgrass,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389384553 …,*,2000,*
Advanced Implementation Techniques for Scientific Data Warehouses,Torben Bach Pedersen; Christian S Jensen,Abstract Data warehouses using a multidimensional view of data have become very popularin both business and science in recent years. Data warehouses for scientific purposes suchas medicine and bio-chemistry1 pose several great challenges to existing data warehousetechnology. Data warehouses usually use pre-aggregated data to ensure fast queryresponse. However; pre-aggregation cannot be used in practice if the dimension structuresor the relationships between facts and dimensions are irregular. A technique for overcomingthis limitation and some experimental results are presented. Queries over scientific datawarehouses often need to reference data that is external to the data warehouse; eg; datathat is too complex to be handled by current data warehouse technology; data that is”owned” by other organizations; or data that is updated frequently. An example of this are …,Advanced Implementation Techniques for Scientific Data Warehouses,2000,*
Extending OLAP Querying to External Object,Torben Bach Pedersen; Arie Shoshani; Junmin Gu; Christian Søndergaard Jensen,Abstract: On-Line Analytical Processing (OLAP) systems based on a dimensional view ofdata have found widespread use in business applications and are being used increasinglyin non-standard applications. These systems provide good performance and ease-of-use.However; the complex structures and relationships inherent in data in nonstandardapplications are not accommodated well by OLAP systems. In contrast; object databasesystems are built to handle such complexity; but do not support OLAP-type querying well.This paper presents the concepts and techniques underlying a flexible; multi-modelfederated system that enables OLAP users to exploit simultaneously the features of OLAPand object systems. The system allows data to be handled using the most appropriate datamodel and technology: OLAP systems for dimensional data and object database systems …,*,2000,*
the Logical Access Path Schema of a Database,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389327042 …,Sigmod Digital Review,2000,*
C+ OROC+ RONOS,Dieter Pfoser; Christian S Jensen; Yannis Theodoridis,Abstract The domain of spatiotemporal applications is a treasure trove of new types of dataas well as queries. However; work in this area is guided by related research from the spatialand temporal domains; so far; with little attention towards the true nature of spatiotemporalphenomena. In this work the focus is on a spatiotemporal sub-domain; namely moving pointobjects. We present new types of spatiotemporal queries; as well as algorithms to processthose. Further; we introduce two access methods to index these kinds of data; namely theSpatio-Temporal R-tree (STR-tree) and the Trajectory-Bundle tree (TB-tree). The former isan R-tree based access method that considers the trajectory identity in the index as well;while the latter is a hybrid structure; which preserves trajectories as well as allows for R-treetypical range search in the data. We present performance studies that compare the two …,*,1999,*
TECHNICAL REPORT SERIES,Dieter Pfoser; Christian S Jensen,Abstract Spatiotemporal applications; such as fleet management and air traffic control;involving continuously moving objects are increasingly at the focus of research efforts. Therepresentation of the continuously changing positions of the objects is fundamentallyimportant in these applications. This paper reports on on-going research in therepresentation of the positions of moving-point objects. More specifically; object positionsare sampled using the Global Positioning System; and interpolation is applied to determinepositions in-between the samples. Special attention is given in the representation to thequantification of the position uncertainty introduced by the sampling technique and theinterpolation. In addition; the paper considers the use for query processing of the proposedrepresentation in conjunction with indexing. It is demonstrated how queries involving …,*,1999,*
Spatio-Temporal Database Management: International Workshop STDBM'99; Edinburgh; Scotland; September 10-11; 1999,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2394321498 …,*,1999,*
RTrees,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389324219 …,Sigmod Digital Review,1999,*
Christian S,Heidi Gregersen,*,Jensen. Temporal entity-relationship modelsa survey. IEEE Transactions on Knowledge and Data Engineering,1999,*
Databasen er strategisk,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389326299 …,Computerworld,1999,*
Multi-Step Processing of Spatial Joins,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389327033 …,Sigmod Digital Review,1999,*
Equivalence of Relational Algebra and Relational Calculus Query Languages Having Aggregate Functions,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389324215 …,Sigmod Digital Review,1999,*
Modification of Now-Relative Databases,Kristian Torp; Christian Søndergaard Jensen; RT Snodgrass,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389384677 …,*,1999,*
First International Workshop on Evolution and Change in Data Management (ECDM'99)-Conceptual Modeling of Change-On the Ontological Expressiveness of Tem...,Heidi Gregersen; Christian S Jensen,*,Lecture Notes in Computer Science,1999,*
Effective Timestamping in Databases,A TimeCenter,Many existing database applications place various timestamps on their data; renderingtemporal values such as dates and times prevalent in database tables. During the past twodecades; several dozen temporal data models have appeared; all with timestamps beingintegral components. The models have used timestamps for encoding two speci c temporalaspects of database facts; namely transaction time; when the facts are current in thedatabase; and valid time; when the facts are true in the modeled reality. However; with fewexceptions; the assignment of timestamp values has been considered only in the context ofindividual modi cation statements. This paper takes the next logical step: It considers the useof timestamping for capturing transaction and valid time in the context of transactions. Thepaper initially identi es and analyzes several problems with straightforward timestamping …,*,1998,*
Copyright c 1998RichardT. Snodgrass. Allrightsreserved.,Richard T Snodgrass; Christian S Jensen; Michael H Bohlen; Renato Busatto; Curtis E Dyreson; Heidi Gregersen; Dieter Pfoser; Kristian Torp; Sudha Ram; Anindya Datta; Kwang W Nam; Mario A Nascimento; Keun H Ryu; Michael D Soo; Andreas Steiner; Vassilis Tsotras; Jef Wijsen,*,*,1998,*
CHOROCHRONOS,NECTARIA TRYFONA; CHRISTIAN S JENSEN,Abstract Many exciting potential application areas for database technology manage time-varying; spatial information. In contrast; existing database techniques; languages; andassociated tools provide little built-in support for the management of such information. Thefocus of this paper is on enhancing existing conceptual data models with new constructs;improving their ability to conveniently model spatiotemporal aspects of information. The goalis to speed up the data modeling process and to make diagrams easier to comprehend andmaintain. Based on explicitly formulated ontological foundations; the paper presents a smallset of new; generic modeling constructs that may be introduced into different conceptualdata models. The ER model is used as the concrete context for presenting the constructs.The semantics of the resulting spatiotemporal ER model is given in terms of the …,*,1998,*
TOPICS OF INTEREST,Elisa Bertino; Daniel Barbara; Ami Motro; Stefano Ceri; Christian S Jensen,Authors are also required to send an abstract of the paper by e-mail to the above address byMay 26; 1997. The message should be in ASCII format and contain the title of the paper;authors' names; the abstract; the name of one or two areas most relevant to the paper andwhether the paper is submitted to the Industrial program,*,1998,*
ChristianS. Jensen. Allrightsreserved.,Rasa Bliujute; Simonas Saltenis; Giedrius Slivinskas,*,*,1998,*
Developing a DataBlade for a New Index,Rasa Bliujūte; Simonas Saltenis; Giedrius Slivinskas; Christian S Jensen,Abstract Many current and potential applications of database technology; eg; geographical;medical; spatial; and multimedia applications; require efficient support for the managementof data with new; complex data types. As a result; the major DBMS vendors are steppingbeyond the support for uninterpreted binary large objects; termed BLOBs; and are beginningto offer extensibility features that allow external developers to extend the DBMS with; eg;their own data types and accompanying access methods. Existing solutions include DB2extenders; Informix DataBlades; and Oracle cartridges. Extensible systems offer new andexciting opportunities for researchers and third-party developers alike. This paper,*,1998,*
Indexing of Now-relative Bitemporal Data,Rasa Bliujute; Simonas Saltenis; Giedrius Slivinskas,*,*,1998,*
Stratum Approaches to Temporal DBMS Implementation,Kristian Torp Christian S Jensen Richard; T Snodgrass,*,IDEAS... International Database Engineering and Applications Symposium: Proceedings...,1998,*
Oplæg til Nykredit Center for Databaseforskning,CS Jensen; L Mark; Lars Mathiassen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389386038 …,*,1998,*
An Extensible Notation for Spatiotemporal Index Queries,Vassilis J Tsotras; Christian S Jensen; Richard T Snodgrass,Abstract Temporal; spatial and spatiotemporal queries are inherently multidimensional;combining predicates on explicit attributes with predicates on time dimension (s) and spatialdimension (s). Much confusion has prevailed in the literature on access methods becauseno consistent notation exists for referring to such queries. As a contribution towardseliminating this problem; we propose a new and simple notation for spatiotemporal queries.The notation aims to address the selection-based spatiotemporal queries commonly studiedin the literature of access methods. The notation is extensible and can be applied to moregeneral multidimensional; selection-based queries.,SIGMOD Record,1997,*
served.,Christian S Jensen; Richard T Snodgrass; Michael H Bohlen; Renato Busatto; Heidi Gregersen; Kristian Torp; Anindya Datta; Sudha Ram; Curtis E Dyreson; Kwang W Nam; Keun H Ryu; Michael D Soo; Andreas Steiner; Vassilis Tsotras; Jef Wijsen,*,*,1997,*
VrijeUniversiteitBrussel. Allrightsreserved.,Jef Wijsen; Robert Meersman; Christian S Jensen; HB Michael; Heidi Gregersen; Kristian Torp; Richard T Snodgrass; Anindya Datta; Sudha Ram; Curtis E Dyreson; Kwang W Nam; Keun H Ryu; Michael D Soo; Andreas Steiner; Vassilis Tsotras,*,*,1997,*
1997 Michael H. B¤ ohlen and Richard T. Snodgrass and MichaelD. Soo. Allrightsreserved.,HB Michael; Christian S Jensen; Heidi Gregersen; Kristian Torp,*,*,1997,*
andAndreasSteiner. Allrightsreserved.,Richard T Snodgrass; Michael H Bohlen; Christian S Jensen; Andreas Steiner; Renato Busatto; Heidi Gregersen; Kristian Torp; Anindya Datta; Curtis E Dyreson; Kwang W Nam; Keun H Ryu; Michael D Soo; Vassilis Tsotras; Jef Wijsen,*,*,1997,*
1997 Kristian Torp; Richard Snodgrass; and Christian S. Jensen. Allrights reserved.,Kristian Torp,*,*,1997,*
Layered Implementation of Temporal DBMSs| Concepts and Techniques,Renato Busatto; Heidi Gregersen; Christian S Jensen; Kristian Torp; Anindya Datta; Hong Lin; Richard T Snodgrass; Curtis E Dyreson; Michael D Soo; Andreas Steiner,*,*,1997,*
Layered Implementation of Temporal DBMSs| Concepts and Techniques,Michael H Bohlen; Renato Busatto; Heidi Gregersen; Christian S Jensen; Kristian Torp; Anindya Datta; Hong Lin; Richard T Snodgrass; Curtis E Dyreson; Michael D Soo; Andreas Steiner,*,*,1997,*
TimeCenter Prospectus,CS Jensen; RT Snodgrass,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389386550 …,*,1997,*
On the Semantics of &quot; Now&quot; in Databases,James Clifford; Curtis Dyreson; Tomas Isakowitz; Christian S Jensen; Richard T Snodgrass,*,*,1996,*
Change Proposal to SQL/Temporal: Adding Valid Time to SQL/Temporal,RT Snodgrass; M Böhlen; CS Jensen; A Steiner,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389346993 …,Change Proposal to SQL/Temporal,1996,*
Change Proposal to SQL/Temporal: Adding Transaction Time to SQL/Temporal,RT Snodgrass; M Böhlen; CS Jensen; A Steiner,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389346992 …,Change Proposal to SQL/Temporal,1996,*
Database Systems,CS Jensen; L Bækgaard; MH Böhlen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389368086 …,*,1996,*
Computer Science Aalborg University: Research Evaluation 1991-1995,Christian S Jensen,*,*,1996,*
Evaluating and Enhancing the Completeness of TSQL2,HB Michael; Christian S Jensen; Richard T Snodgrass,Abstract The question of what is a well-designed temporal data model and query languageis a di cult; but also an important one. The consensus temporal query language TSQL2attempts to take advantage of the accumulated knowledge gained from designing andstudying many of the earlier models and languages. In this sense; TSQL2 represents aconstructive answer to this question. Others have provided analytical answers by developingcriteria; formulated as completeness properties; for what is a good model and language.This paper applies important existing completeness notions to TSQL2 in order to evaluatethe design of TSQL2. It is shown that TSQL2 satis es only a subset of these completenessnotions. In response to this; a minimally modi ed version of TSQL2; termed Applied TSQL2;is proposed; this new language satis es the notions of temporal semi-completeness and …,*,1995,*
Evaluating and Enhancing the Completeness of TSQL2,Christian S Jensen; Richard T Snodgrass,*,*,1995,*
The state-of-the-art in temporal data management: Perspectives from the research and financial applications communities,J Clifford; C Jensen; RT Snodgrass; MH Bohlen,Abstract for the book: This volume contains papers presented at the International Workshopon Temporal Databases; held in Zurich; Switzerland; from 17-18 September 1995. Thepapers cover a wide range of topics from the highly theoretical through to reports on howtemporal data bases can be used to solve real problems. In addition to the technical papers;there are also summaries of two panel discussions which assess the recently-completedTSQL2 Language Design; and examine the need for additional research into thedevelopment of TSQL3. Together these papers provide a comprehensive overview of thelatest research work into the area of temporal databases. They will provide invaluablereading for researchers; postgraduate students and practitioners.,*,1995,*
Cursors,Christian S Jensen; Richard T Snodgrass; TY Cliff Leung,The data model of TSQL2 was designed as a conceptually minimal valid-time extension of thestandard relational model. Facts in a valid-time table have associated the times when they areassumed to be true in the modeled reality. Tuples encode facts (atomic or composite); and theadopted data model asso- ciates valid times with facts at the level of tuples. In order to not replicatefacts; ie; have several value-equivalent tuples with different associated time periods; tuples areassociated with valid-time elements; finite unions of periods … Storage and display ofvalid-time tables is not restrained by the above choice of data model. Indeed; several formatsmay coexist for both storage and display. As will be described; we have here adopted a verysimple display format that is well-suited for accessing valid-time tables via cursors. Other displayformats may be added later … The association of tuples with valid-time elements …,*,1995,*
A Second Example,Richard T Snodgrass; Christian S Jensen; Curtis E Dyreson; Wolfgang Käfer; Nick Kline; John F Roddick,Abstract This chapter expresses the schema and some of the queries of the extensiveconsensus test suite for temporal relational query languages [Jensen 1993]. The test suite isnot related to performance issues; but has a semantic focus and is intended to be an aid inevaluating the user-friendliness of temporal query languages. An attempt is made to expressthe schema and queries in TSQL2 in a convenient and natural fashion; as an informalevaluation of that language's user-friendliness.,*,1995,*
