The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Influence of High-Level Jet Stream to Strong Sandstorms in Gansu; China,Xian-rong YANG; Jin-song WANG; Jin-quan ZHANG; Bo-long WEI; Hong LIU; Ji-lu DENG; Xiao-qin JIA,The relationships between strong sandstorms and oscillation of high-level jet stream areanalyzed by means of the meteorological data during 1970—2010 in Gansu; China. Theresults show that there is a direct relation between the direction of high-level jet stream andthe occurrence; development and influence scope of strong sandstorms. When the high-level jet stream arrives to the Balkhash Lake and converts to" C" or" L" type stream field; thestrong cold air and disturbing jet stream develops towards Gansu province; and results insudden strong sand-storms or even black winds in spring in Gansu province. This kind ofweather process has characteristics of fast moving; large influence scope; short life historyand great damages.,Journal of Desert Research,2011,*
The Design Study on Electrical Initiation Control Systems,Liang Wang; Yaohua Wang; Xiaoqiang Yang; Kai Cheng; Haishan Yang; Baoguo Zhu; Xinwei Ji,Abstract The safety design requirements of electrical initiation control system were firstlyanalyzed; and then according to the electrical initiation control system signal flow anddetonation theory; the overall technical program of the electrical initiation control system wasproposed; at last that the safety design of the main control box of the electrical initiationcontrol system hardware and software was completed.,Modern Applied Science,2011,*
Functional activity mapping during intraoral stimuli with cold water: with fMRI,Xiu-wen YANG; Hong-chen LIU; Li Ke; Zhen JIN,Objective: To evaluate the feasibility of fMRI on the location of brain regions related tostimulation with cold water; and compare the different brain regions under between intra-oral4 C cold and 23 C water stimulation. Methods: Thirteen healthy volunteers were selected toperform the fMRI study. 4 C (group CgL) deionized water stimuli was delivered to thesubject's mouth through polythene tubes that were held between the left of lips. Group WgLserved as control. Block designed fMRI scan covering the whole brain was carried out. Thefused cross-sectional map between the two groups CgL/WgL were compared. Results:Under cold stimulation; the following brain locations were bilateral activated: orbitalfrontalcortex (OFC)(BA11); BA44; pre/post-central gyrus oral sensory/motor; parietal lobule; PMC(BA6); and the following locations were unilateral activated: right ACC (BA24); lingual …,Chinese Journal of Geriatric Dentistry,2011,*
Water Use Efficiency of the Juglans regia Seedlings Treated by Different Levels of Foliar Fertilizer,Xiao-xia CAO; Jian-bin GUO; Xiao-fei YANG; Ning QIN; Kun-yun JIANG; Wen-bin LI,Water physiological indices of potted walnut seedlings with different levels of foliar fertilizerapplication were measured; such as net photosynthetic rate (Pn) and transpiration rate (Tr);and instant water use efficiency (WUEi) was further calculated upon the measurement.Diurnal variation curves of Pn and Tr were obtained; and the changes of WUEi werepreliminarily analyzed. The results showed that both diurnal changes of Pn and Tr showeddouble-peak curves in the plants treated by different fertilizer levels. The phenomena ofmidday depression of photosynthesis was observed in Pn. The value of WUEi was thehighest at 8: 00 and the lowest at 18: 00. The analysis of variance showed that WUEi wasthe highest in the treatment of 1 200 times dilution of the fertilizaer; and lowest in the control(pure water).,Journal of Northwest Forestry University,2011,*
Theoretical studies of local structure for [Cu (dpa)(dpc)]· 3H_2O crystal,Zhong-hao WU; Mao-lu DU; Da-ji Ergu; Jiang CUI; Xiu-fan YANG,There is little investigation on the local structure copper (Ⅱ) in crystal surrounded by fiveligands. By introducing the average covalent factor; the g-factors for [Cu (dpa)(dpc)]· 3H2Ocrystal are calculated; and the calculated results are compared with the experimental results.The theoretical results are in agreement with the experiments.,Journal of Southwest University for Nationalities (Natural Science Edition),2011,*
TECHNOLOGY; COMPUTING; AND SIMULATION-(Society for Technology in Anesthesia)-Evaluation of a New Software Version of the FloTrac/Vigileo (Version 3.02...,Gianni Biancofiore; Lester AH Critchley; Anna Lee; Xiao-xing Yang; Lucia M Bindi; Massimo Esposito; Massimo Bisà; Luca Meacci; Roberto Mozzo; Franco Filipponi,*,Anesthesia and Analgesia,2011,*
Cerebral activation during intra-oral stimuli with heat water: fMRI,Xiu-wen YANG; Hong-chen LIU; Ke LI; Zhen JIN,Objective: To evaluate the feasibility of fMRI on the location of brain regions related to hotstimulated with water. Methods: Thirteen healthy right-handed volunteers were selected toperform the fMRI study and were divided into two groups randomly. The subjects wereserved with 56℃ deionized hot water in experimental group; and subjects were served with23℃ warm water in control group. Block designed fMRI scan covering the whole brain wascarried out. The fused cross-sectional maps of the two groups were compared. Results: Thegroup showed robust activations in left thalamus (-6;-11; 17); bilateral activations insular;pre/post-central gyrus oral sensory/motor (45;-8; 14). Signals in motor language area(BA44); BA6; parietal lobule (BA40; 7) were strong. BOLD signals were also foundunilaterally in right frontal Lobe; striatum and precuneus. Pre/post-central gyrus (oral …,Chinese Journal of Prosthodontics,2011,*
Study on Effect of the Eukaryotic Expression Vector GM-CSF on the K562,Hong ZHU; Shang-jun YANG; Xiao-hong YANG; Xue-lu LI,Objective: To investigate the effect of suppressing growth of GM-CSF on K562 cell. Methods:Using cell proliferation assay; NBT reduce assay; the effect of PcDNA3. 1-rhGM-CSF onK562 cell was observed. Results: The proliferation of K562 cells was significantly inhibited.K562 cells can be transformed into some cells with phagocytosis. Conclusion: PcDNA3. 1-GM-CSF can inhibit the proliferation of K562. Some of the K562 cells differentiate tomonocytes or macrophages.,Journal of North Sichuan Medical College,2011,*
Anesthesia) TECHNOLOGY; COMPUTING; AND SIMULATION (Society for Technology in Determination of the Precision Error of the Pulmonary Artery Thermodilutio...,Xiao-Xing Yang; Lester A Critchley; Gavin M Joynt,*,Anesthesia and Analgesia,2011,*
Posterior Lens Capsule Rupture in Small Incision" V" Type Capsulotomy in Cataract Surgery [J],Qing-qing LENG; Xiao-chun YANG; Yu-hua FANG; Jian-cheng HE; Xing-xing LIN; Lian CHEN,Objective To analyze and treat posterior capsule rupture in small incision" V" typecapsulotomy in extracapsular cataract extraction surgery. Methods Clinical data of 63 casesof posterior capsule rupture (6.81%) of 893 patients (925 eyes) undergoing extracapsularcataract extraction surgery in Wuning county people's hospital were analyzed. Results Of the63 eyes; posterior capsule rupture occurred during hydrodissection in 9 eyes; during corticalaspiration in 46 eyes; during nucleus delivery in 5 eyes; during intraocular lens implantationin 2 eyes; and during tearing anterior capsule flap in 1 eye. Fifty-seven eyes receivedposterior chamber intraocular lens implantation; and 6 eyes were not implanted intraocularlens due to loss of red fundus reflex. Postoperative visual acuity at discharge was greaterthan 0.4 in 57 eyes and less than 0.1 in 6 eyes. Conclusion Posterior capsule rupture is a …,Practical Clinical Medicine,2011,*
Improvement of High Dynamic Carrier Capture Based on Discrete Match Fourier Transform Algorithm [J],Zhu Liqing; Lu Huibin; Yi Xueding; Yang Xuefeng,The high dynamic carrier capture based on fast Fourier transform (FFT) is not applicable.Discrete match Fourier transform (DMFT) can be used in high dynamic signal. But it has poorprecision and large calculation. A two-dimensional carrier capture algorithm is proposedbased on the above analysis with the three combination of FFT; self-correlation and DMFT.Firstly; if-sampled signal and its delay make self-correlation; then the frequency variationrough estimate is abtained through FFT on the delay self-correlation; and the roughestimation of the initial frequency shift is obtained. After that; searching near the incomevalue in DMFT obtain the high-precision parameter estimation. The method narrows thesearching scope; reduces computation and improves the precision of estimation. Thesimulation results prove that the method is effective and feasible.,Journal of Data Acquisition and Processing,2011,*
Ghrelin 对高脂环境下大鼠成肌细胞糖脂代谢的影响,韩玲玲， 张晓蕾， 陈颖， 王威， 张丹， 刘国良,目的探讨Ghrelin 对高脂环境下大鼠成肌细胞糖脂代谢的影响; 为深入研究2型糖尿病的防治提供理论依据. 方法对照组用含0.5% BSA 的DMEM 培养12h; 高脂组用O.3mmol/L 棕榈酸(PA; 含0.5% BSA) 培养12h; 干预组分为3 组; 分别在高脂干预同时加入10^-11mol/L; 10^-9 mol/L; 10^-7 mol/L Ghrelin 作用12h. 用油红O 染色法检测成肌细胞脂肪变性后甘油三酯沉积; 用GPO—POD 酶法测定成肌细胞脂肪变性后甘油三酯含量; 用同位素示踪法检测葡萄糖摄取. 结果与对照组比较; 在0.3 mmol/LPA 组中; 甘油三酯沉积和含量明显增加;葡萄糖摄取明显下降. 与0.3 mmol/LPA 组对比; 随着给予Ghrelin 的浓度逐渐增加;甘油三酯沉积和含量逐渐下降; 葡萄糖摄取逐渐增加; 并呈剂量依赖关系; 其中10^ 7mol/LGhrelin 对损伤的修复作用最为明显. 结论Ghrelin 可减少大鼠成肌细胞的甘油三酯沉积;增加高脂环境下大鼠成肌细胞的糖摄取; 并且存在剂量依赖关系.,中国医科大学学报,2011,*
PEM 燃料电池毛细压力流道拓展模型,杨晓光， 叶强， 郑平,多孔电极与流道内的水淹现象是制约质子交换膜(PEM) 燃料电池性能提高的关键难题.传统的宏观两相模型普遍存在液态水饱和度预测值偏低的不足; 而流道内气液两相雾状流的假设则是低估水淹程度的一个主要原因. 本文提出了反映流道壁面浸润差异性的毛细压力流道拓展模型; 并对低气速下燃料电池内的传热传质进行了模拟. 计算结果表明; 该模型克服了原有模型对饱和度预测值偏低的不足; 不仅反映了液相水分布的贴壁效应; 同时还可以考虑流道壁面差异的影响.,工程热物理学报,2011,*
One-step Route to Fabrication of Pd Nanoparticles Modified Au Electrode and Its Electrocatalytic Activity for Dissolved Oxygen,XU Xiao-Long; JIA Jian-Bo; YANG Xiu-Rong; DONG Shao-Jun,Abstract In this article; we reported a one-step facile route to fabricate Pd-modified porousAu electrode. During fabrication; the surface of a pristine Au microdisk array electrodeunderwent oxidation; reduction; and Pd deposition while applying three potentials (high;low; or lower; respectively). We optimized the preparation conditions; such as buffer pH andoxidation time. On a preparation condition that 90 s oxidation in phosphate buffer salinesolution with pH 7; we obtained a 42-fold larger electroactive surface area at porouselectrode than that of bare electrode. Pd nanoparticles (PdNPs) were modified on theporous electrode subsequently; and the loading of Pd could be easily tuned by varying thedeposition time. The as-prepared Pd-modified electrode was used for electrocatalyticreduction of dissolved oxygen; and this showed a sensitivity of 0.1 mA L cm− 2 mg− 1 …,Chinese Journal of Analytical Chemistry,2010,*
The clinical value of ultrasound in the diagnosis and therapy of liver abscess,Wen-Jing Zhu; Zhen-Fang Zhou; Xiu-Yun Wang; Yu Zhang; Xiu-Hua Yang,*,Zhonghua Yixue Chaosheng Zazhi/ Chinese Journal of Medical Ultrasound(Electronic Version),2010,*
UDM2010 Workshop Organizers’ Message,Katsumi Tanaka; Yutaka Kidawara; Ki-Joune Li,Abstract Ubiquitous computing technologies provide a pervasive base for a real worldenvironment such that we can acquire and deliver information at every place. Advances inthe technologies of displays; electronic papers; digital architecture; sensors; RFID tags andstorage devices etc. may bring a new real world environment for data access.,International Conference on Database Systems for Advanced Applications,2010,*
Effects of growth hormone on colon cancer cell (Lovo cell) in vitro,Xiao-dong YANG; Ping HUANG; Feng WANG; Li YANG; Ze-kuan XU; Xiao-teng LI,Objective: To characterize the effects of growth hormone (GH) on human colon cancer invitro. Methods: Lovo cells were divided into control group and experimental groups andtreated with different concentration of GH. MTT assay was used to determine the growth ofthe cells. The cell cycle and cell apoptosis of Lovo cells were detected by flow cytometer withPI and annexin V/PI double staining. Results: GH promoted the proliferation of Lovo cells;and the effects began at 12~ 24 h and peaked at 48 h. GH got the best effect on proliferationof Lovo cells when the concentration reached 200 ng/ml. After Lovo cells were treated by200 ng/ml growth hormone for 24 h; the rate of G0/G1 stage decreased significantly; the rateof S stage increased significantly and the rate of G2/M stage increased slightly. For 72 h; therate of G0/G1 stage decreased more significantly; the rate of S stage increased more …,Acta Universitatis Medicinalis Nanjing (Natural Science),2010,*
Effects of somatostatin on human colon cancer cell (Lovo cell) in vitro,Xiaodong YANG; Feng WANG; Ping HUANG,Objective To study in vitro the effects of somatostatin on human colon cancer cells. MethodsLovo cells were divided into control group and experimental group. MTT assay was used todetermine OD values at 0; 6; 12; 24; 48; 72h and the growth curve was marked out.Somatostatin was added with different terminal concentrations of 0; 10-10mol/L; 10-9mol/L;10-8mol/L; 10-7mol/L; 10-6mol/L. OD value was determined at 48 h and the dose-effectrelationship curve was marked out. Results Somatostatin inhibited the proliferation of Lovocells; which began at 24h and reached its climax at 72h. The rate of G0/G1 stage increasedsignificantly and the rate of S stage decreased and the rate of G2/M stage decreasedsignificantly at 24h; which recovered at 72h. Compared with control group; the apoptosisindex of somatostatin group increased significantly; which was even more at 72h …,Jiangsu Medical Journal,2010,*
Optical color image encryption based on fractional Fourier transform [J],Xiao-cui LI; Xiao-ping YANG; Ya-dong ZHU,A fractional Fourier transform phase encoding combined with tricolor grating method isproposed for the optical color image encryption system. According to tricolor grating theory;a color image is modulated into a gray scale image; and then the gray scale image isencrypted by fractional Fourier transform phase encoding. With the tricolor grating; thesystem is simper and more practical. And due to the additional degrees of freedom providedby the fractional Fourier transform; the numbers of security keys can be increased. So thetechnique improves the security of the system. Computer simulation proves the validity of theproposed method.,Journal of Tianjin University of Technology,2010,*
Fos expression in the brain following microinjection of GABAA receptor agonist muscimol into the central nucleus of amygdala in sodium depleted rats,Qian Wang; Jianqun Yan; Jinrong Li; Xuejuan Yang; Ke Chen; Shiru Zhao; Huiling Sun; Bo Sun,*,Neuroscience Research,2010,*
The analysis of Cr~(3+) doped in Cs_2NaAlF_6 dd transitions,Jiang Cui; Mao-Lu Du; Ping Yu; Xiu-Fan Yang; Wen-Qian Duan,The research on the absorption spectrum of Cr3+ doped in Cs2NaAlF6 has great practicalsignificance. This paper uses point charge model; adjusts the average covalent factor N andthe ligand dipole moment u; to calculate from a theoretical point the dd transitions ofCs2NaAlF6; identify the main absorption peak and distinct the Cr3+ occupying Al (1) and Al(2) transition. The results show that the experimental data and theoretical values are wellmatched.,Journal of Southwest University for Nationalities (Natural Science Edition),2010,*
Improved CMI code in passive induction setting system,Xiao-min LIU; Dong XIONG; Zhou-xian ZHU; Xue-min YANG; Feng WANG,Aiming at the low energy transmission efficiency of the passive induction setting system withthe existing codes; an improved CMI code is proposed as baseband code by changing theequivalent average time of high level during a code cycle under 2ASK modulation. Theproperties are analyzed; such as energy transmission efficiency; power spectrum and theerror probability in incoherent demodulation in AWGN channel. The code is successfullyapplied to passive induction setting system; and the decoding method and measuredvoltage waveform are given. With the code; the energy transfer efficiency is improved by60% than that of CMI code. It is not only beneficial to energy transmission; but also has themerit of CMI code that the bit timing information is extracted easily; which is fully utilized inincoherent demodulation to solve the sampling moment error accumulation problem …,Journal of Chongqing University,2010,*
Analysis on the prognosis-related factors of patients with colorectal cancer,Xiaodong YANG; Ping HUANG; Feng WANG,Objective: To investigate the prognosis-related factors of patients with colorectal cancer.Methods: The factors associated with the prognosis were analysed by long-term survivalfollowed up in 121 patients underwent curative resection for colorectal cancer. Results: Of111 cases followed up completely; reoccurrence was found in 19 cases; 34 cases were withmatastasis of lymph nodes and 36 cases were died. The survival rate was 93.39% for 1 year;76.03% for 3 years and 70.25% for 5 years. The invasive depth; TNM classification;matastasis of lymph nodes; operation; postoperative chemotherapy and growth hormonerecepter (GHR) expression were significantly correlated with the survival rates (P0. 05). Theinvasive depth; TNM classification; and GHR expression were significantly independentprognostic factors for long-term survival (P0. 05). Conclusion: The invasive depth; TNM …,Jiangsu Medical Journal,2010,*
Characteristics of Root Systems of Two Halophytes for Adaptability to Salinity,Gao Ruiru; Zhao Ruihua1 Du Xinmin1 Huang Zhenying; Yang Xuejun2 Wei Xuezhi1 Huang Peiyou,Halocnemum strobilaceum and Kalidium foliatum are two dominant species in halophyticplant communities in Xinjiang. The strong adaptability to salinity is probably related to thecharacteristics of their root systems. The field investigation and laboratory analysis wereused to examine the distribution patterns of root systems; the water content of differentdiameter roots; and the ion contents in soil; root xylem and cortex of the two halophytes.Results showed that the roots of H. strobilaceum and K. foliatum vertically distributed asdeep as 70 and 80 cm soil layers; and most roots distributed in 30-60 and 20-50 cm depthsrespectively. Roots horizontal distribution of the two species all exceeded 140 cm. Thedistribution pattern of root fresh weight in soil was similar to that of root length density. pHvalue; and the contents of salt and water in different edaphic layers may influence the …,Scientia Silvae Sinicae,2010,*
Impact of Different Fertilization on Soil Heavy Metals in Rocky Mountain Areas of Northern China,Wang Yuhua; Yang Xinbing; Zhang Zhijie; Lu Shaowei; Geng Shaobo,An experiment was conducted to study the effect of different fertilizers on soil heavy metalcontent in infertile soil in granite-gneiss area of Pingshan County; Hebei Province. Differentfertilizers included urea (total N content more than 45.3%); fused calcium magnesiumphosphate (P2O5 content more than 12%); potassium chloride (K2O content more than56%); slow release compound fertilizer (mass ratio of N; P; K is 12∶ 17∶ 13); compoundmicroorganism preparations and bio-organic fertilizer. Results showed that the soilchromium-ion content for the treatment of slow release compound fertilizer applied 100g perhole decreased by 49% compared with the control (without fertilizer application); then that ofchemical fertilizer (100g urea and 100 g potassium chloride per Armeniaca sibiricaseedling); bio-organic fertilizer applied 1000g per hole and compound microorganism …,Journal of Northeast Forestry University,2010,*
面向相似数据的无损压缩技术,赵国毅， 杨晓春， 王斌,对存在于网络信息; 观测数据以及生物信息中的大量相似数据; 使用传统的压缩方法压缩不能达到更好的效果. 对相似度很高的数据采用一种新的无损压缩方法; 即基础序列加上一组基于编辑距离的差异量来表示整个数据集; 可以只用很少的差异量来表示原本巨大的数据项.针对现实中数据不会整体相似的特点; 提出一种先聚类再压缩的思想; 在每个聚类中构造聚类中心作为虚拟基础序列; 使压缩比最大化. 通过大量实际数据集的实验测试与分析;表明提出的无损压缩技术对于相似序列数据具有很好的压缩比.,计算机科学与探索,2010,*
Application of RFID Technology in Heat Meters,Xueyan Yang; Rujian Ma; Xiao Wang; Guoxian Ren,The application of RFID technology in heat meters is presented in this paper. Heat metersare terminal equipment in heat supply management system. By use of RFID technology inheat meters; the data can be exchanged between heat meters and heat supplyingdepartment by RF cards. The information can be transmitted in a non-contact way. In thisway; the purpose of automatic identification can be achieved. A diagram and specific designmethod of heat meters based on RFID are also shown in the paper. By the proof of testingand practical application; it can be seen that the new type of heat meters can meet thedemands of users. Compared with the ordinary heat meters; the new type of heat metershave the advantages of small in meter volume; high accuracy; no impact of water quality;good reliability and so on. This provides a firm material foundation for management …,MEMS; NANO; and Smart Systems (ICMENS); 2009 Fifth International Conference on,2009,*
Protocol Adaption of NAC in Mobile Telecommunication Networks,Bing Liu; Cheng Song; Yang Xin; Yixian Yang,The NAC (network access control) technology which enforces the endpoint access decisionbased on the collected endpoint security status information and platform measurementinformation has been developed by various companies and has been widely deployed inintranets. Besides intranet; mobile telecommunication networks also find NAC is required.This paper introduces the main NAC solutions in industry and analyzes the essential ofcurrent NAC technologies in the perspective of protocol. And then this paper describes theexplicit requirement of remote platform integrity validation which may utilize the NAC in themobile telecommunication networks and discuss a feasible way of implementing the NACtechnology into a scenario by using protocol adaption of EAP over IKEv2.,Information Engineering and Computer Science; 2009. ICIECS 2009. International Conference on,2009,*
Metformin Enhances Trastuzumab Efficacy and Overcomes Resistance in HER2 Type Breast Cancer Cells.,A Thor; Z Fan; X Yang; F Esteva; F Jones; S Edgerton; S Lind; B Liu,Background: HER2 alterations occur in one-fourth of breast cancers and are associated withan aggressive tumor phenotype. The anti-HER2 agent trastuzumab reduces cellproliferation; angiogenesis; DNA repair and induces antibody-dependent cellularcytotoxicity. Objective response rates and median duration of response for eligible patientsgiven trastuzumab alone is low (12-34% and 9 months respectively); hence; it isadministered in combination with other agents. Mechanisms of trastuzumab resistanceinclude: altered receptor antibody interactions; increased signaling through other EGFR typeI growth factor receptors; modulation of p27 kip1 and increased insulin-like growth factor 1receptor (IGF-1) signaling. We have reported that metformin inhibits HER2 expression;tyrosine kinase activity (phosphorylated HER2 at both auto-and Src-phosphorylation sites …,*,2009,*
Abstract# 5534: Anti-VEGF treatment interacts with hypoxia-driven vascular endothelial growth factor loop sensitivates hepatoma carcinoma cells to etoposide,Duoduo Wang; Qinjie Weng; Xiaowen Liu; Shijing Qian; Chongxing Tu; Xiaochun Yang; Qiaojun He; Bo Yang,Transcriptional regulation of vascular endothelial growth factor (VEGF) is criticallydependent on hypoxia-inducible factor 1 (HIF-1). High levels of both VEGF and HIF-1 coexistin certain conditions; eg; tumors. Here; we used a hepatoma model (SMMC-7721) toinvestigate whether HIF-1 is regulated by a product of its own transcriptionally-activatedgenes; namely VEGF and the role of this signaling in hypoxia-mediated resistance of thedrug etoposide. Our experiments showed that SMMC-7721 cells were resistant to 1.25\#956; M etoposide in hypoxia (0.6% O 2) principally associated with p53 accumulation anddownstream mitochondrial pathway. As a main finding; VEGF 165 incuced the increase ofthe protein level of HIF-1\# 945; while an anti-VEGF treatment partly reversed hypoxia-drawnHIF-1\# 945; expression. Pretreatment with anti-VEGF antibody obviously reduced both …,*,2009,*
Anti-VEGF treatment interacts with hypoxia-driven vascular endothelial growth factor loop sensitivates hepatoma carcinoma cells to etoposide,Duoduo Wang; Qinjie Weng; Xiaowen Liu; Shijing Qian; Chongxing Tu; Xiaochun Yang; Qiaojun He; Bo Yang,*,CANCER RESEARCH,2009,*
Workshop Organizers’ Message,Shazia Sadiq; Ke Deng; Xiaofang Zhou; Xiaochun Yang; Walid G Aref; Alex Delis; Qing Liu; Kai Xu,Abstract Poor data quality is known to compromise the credibility and efficiency ofcommercial as well as public endeavours. Several developments from industry andacademia have contributed significantly towards addressing the problem. These typicallyinclude analysts and practitioners who have contributed to the design of strategies andmethodologies for data governance; solution architects including software vendors whohave contributed towards appropriate system architectures that promote data integrationand; and data experts who have contributed to data quality problems such as duplicatedetection; identification of outliers; consistency checking and many more through the use ofcomputational techniques. The attainment of true data quality lies at the convergence of thethree aspects; namely organizational; architectural and computational.,International Conference on Database Systems for Advanced Applications,2009,*
Effect of Yeasts on the Storage Stability of Butter,Gao Hongyan; Miao Junli; Mo Beihong; Xiao Yang; Jiang Shilong,5 yeasts were isolated from grape; raisin grape and Kefir; and spread these yeasts on thesurface of butter. These samples were incubated at 22℃ for 60 days. The sensoryevaluation and acid value of the samples were analyzed after 15; 30; 45 and 60 days. Fattyacids composition and Peroxide value were determined after 60 days. It was found that shortchain fatty acids were mainly responsible for the rancid flavor in butter. Tow specific yeastscan be used to prevent the butter rancidity without producing off flavor.,Journal of Dairy Science and Technology,2009,*
The effects of constraint-induced movement therapy on the walking ability and balance function in stroke patients,Guiyun JIANG; Xiaolian YANG; Wenqing WANG,Objective: To investigate the influence of constraint-induced movement therapy (CIMT) onthe walking ability and balance function of stroke patients. Method: Sixty stroke patients withhemiparesis were selected between February 2007 and June 2008. All of the patients wererandomly assigned to one of the two groups: CIMT group and control group. The CIMT groupreceived revised CIMT; while the control group received traditional rehabilitation treatmentsfor 8 weeks. Berg Balance Scale was used to evaluate the balance function of patientsbefore and after the treatment. Timed" up and go" Test (TUGT) and maximum walking speed(MWS) were used to test the walking ability of the patients. Result: The CIMT group hadsignificantly higher scores on Berg balance scale (P0. 05); took less time in TUGT (P0. 05);and performed higher MWS (P0. 05). Conclusion: CIMT is an effective treatment for …,Chinese Journal of Rehabilitation Medicine,2009,*
Coronary plaque characterization by 64-slice dual-source spiral computed tomography and IVUS [J],Xia YANG; Lu-yue GAI; Ping LI,Objective To compare the accuracy of 64-slice dual-source spiral computed tomography (64-sCT) and intravascular ultrasound (IVUS) in characterizing the coronary plaque. Methods 64-sCT and IVUS (motorized pullback) were performed in thirty-five patients with unstableangina pectoris. Vascular cross-sectional area (CSA); luminal CSA and plaque burden weremeasured in same lesion at same position. Plaque component was also evaluated by IVUSand Hounsfield unit (HU) was calculated according to 64-sCT. Results A total of 72segments in 45 vessels (left anterior descending 23; left circumflex 15; and right coronaryartery 7) were investigated by both IVUS and 64-slice CT. Among 68 assessable segments;64-sCT correctly detected 49 of the 51 segments with plaques (sensitivity: 96%); andcorrectly evaluated 16 of 17 segments without plaques (specificity: 94%). Plaque analysis …,Chinese Journal of Geriatric Heart Brain and Vessel Diseases,2009,*
EFFECT OF NUTRITIONAL STATUS ON THE SWEET TASTE SOLUTIONS INTAKE,Ke Chen; Jianqun Yan; Jinrong Li; Xuejuan Yang; Yi Suo; Xiaolin Zhao,*,JOURNAL OF PHYSIOLOGICAL SCIENCES,2009,*
自发荧光成像中光子传输蒙卡仿真的并行实现,杨薇， 杨鑫， 代晓倩， 王珊， 骆劼， 徐敏,在生物自发光成像领域; 将基于蒙特卡罗方法的光子前向传输仿真进行并行化;提高了仿真的速度. 首先介绍了所采用的一系列并行机制和串行加速算法; 然后分别对并行仿真结果进行正确性验证和性能验证; 并与软件MOSE; triMC3D 的结果进行了对比;最后对该并行平台进行了总结和展望.,计算机科学与探索,2009,*
天然气生产过程受控管理体系的建立与应用——以中国石油西南油气田公司重庆气矿为例,邓殊华， 杨兴梅， 兰云霞， 胡世虎,摘要针对天然气生产企业原有管理模式存在无法真正控制生产过程安全风险的缺陷;中国石油西南油气田公司重庆气矿引入先进的生产过程受控管理理念; 对HSE管理体系;“两书一卡”; 内控体系和“四有工作法” 等一系列管理制度进行汇总; 提炼; 归纳;建立了以生产过程受控卡; 生产受控日报为核心的生产过程受控管理体系;由受控人员按预先编制的计划; 方案和步骤对风险; 关键节点进行提示和步步确认;使整个生产作业和管理过程始终处于受管理; 受监督; 受指导的可控状态; 以保障生产各环节的质量; 安全; 效率; 效果; 最终实现平稳输供天然气. 该体系实现了对生产和管理过程的全员;全过程; 全方位受控; 体现了“用程序控制过程; 用过程保障结果” 的管理理念;是大型气矿保障各项生产管理制度; 办法; 规范得到切实贯彻执行的有效控制体系.,天然气工业,2009,*
Formal Asymmetric Synthesis of (-)-Aphanorphine via Ring-Closing Metathesis Reaction,Xiaobao Yang; Bin Cheng; Zhong Li; Hongbin Zhai,Abstract We have developed an asymmetric route to (-)-aphanorphine from O-Me-d-tyrosinemethyl ester hydrochloride salt; available from d-tyrosine in four steps. The tricyclicframework of (-)-aphanorphine was assembled stereoselectively by intramolecular Friedel-Crafts reaction of the corresponding bicyclic precursor; which was in turn generated via ring-closing metathesis reaction.,Synlett,2008,*
Intrathecal Mk-801 inhibits formalin-induced activation of spinal p38-mapk in rats**⋆,Zhifeng Peng; Xin Zhao; Xing Jin; Xiaochun Yan; Xiaorong Yang; Ce Zhang,BACKGROUND: p38 mitogen-activated protein kinase (MAPK) plays an instrumental role insignal transduction from the cell surface to the nucleus; while subcutaneous injection offormalin can induce increased activation of spinal p38 MAPK. However; the mechanismsunderlying the formalin-induced activation of spinal p38 MAPK in rats are unclear.OBJECTIVE: To observe the effects of N-methyl-D-aspartic acid (NMDA) receptor antagonistMK-801 on the formalin-induced activation of spinal p38 MAPK in rats. DESIGN; TIME ANDSETTING: This randomized grouping; controlled animal experiment was performed at theDepartment of Physiology and Neurobiology; Shanxi Medical University between May andNovember 2007. MATERIALS: Forty eight healthy; adult Wistar rats were randomly dividedinto two groups: formalin+ normal saline (n= 12) and formalin+ MK-801 (n= 36). The …,Neural Regeneration Research,2008,*
Idiopathic hyperhomocysteinemia and Peripheral neuropathy,Jin Jun Luo; F Bumanlag; A Nouh; J Song; X Yang; H Wang; N Dun,Read 'IDIOPATHIC HYPERHOMOCYSTEINEMIA ANDPERIPHERAL NEUROPATHY' on Ovid Insights.,Muscle & Nerve,2008,*
Expedient Synthesis of the Tetracyclic Core (II) of ent‐Nakadomarin A (III).,Haibing Deng; Xiaobao Yang; Zhaolong Tong; Zhong Li; Hongbin Zhai,*,ChemInform,2008,*
Geochemistry of silicon and oxygen in the regolith on feihong ultramafic Complex; West Yunnan; China,Zhusen Yang; Y Liu; S Tian,*,Geochimica et Cosmochimica Acta Supplement,2008,*
